Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,parkinsons,1,(W+(K_11*L)),0.0,96.42240215924426,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,0.0,0.6209797293512787,0.18192503892000286,0.32027314682720676,0.16664694161949925,0.18800310542921983,0.21901698976564812,0.23887969951363697,0.24389670266423513,0.2514212068718887,0.25196975491595436,0.24819347291065305,0.21354156503512006,0.09797958970831216,1.9073486328125E-6,
GPEDA,parkinsons,2,(K_11*(((L+(P+R))+R)+(L+R))),0.0,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,97.43522267206478,97.43522267206478,0.0,0.45832824588564114,0.2827393656195049,0.24812178571855756,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,0.1356465996521852,
GP,parkinsons,1,(K_13*((L*K_11)+(K_13*(((L*K_11)*K_13)*L)))),0.0,96.42240215924426,96.42240215924426,96.42240215924426,96.42240215924426,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,0.0,6.111307803548561,0.6836790531828849,0.2830540208492893,0.16178979227411489,0.004700077803960046,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,2.6973983046972182E-6,0.13912471758013523,0.20512820511170596,0.21901698976980075,0.2461538461374464,
GPBUMDA,parkinsons,2,((K_11*K_11)+(R+(L+R))),0.0,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,97.4480431848853,97.4480431848853,97.4480431848853,97.4480431848853,97.4480431848853,97.4480431848853,97.4480431848853,97.4480431848853,97.4480431848853,0.0,1.2448900105519016,0.33145247007178785,0.2287888341187407,0.2523098380436112,0.09884075317628721,1.4355129586014018E-14,0.10151212488375219,0.12302457077062395,0.1405371731558159,0.15540806791929704,0.17974861383977478,0.19901943327733268,0.21459072558836187,0.22722433460535754,
GP,parkinsons,2,((H+W)+(L+R)),0.0,96.93522267206478,96.93522267206478,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.96153846153847,96.96153846153847,0.0,7.004849501166301,0.6731208099080835,0.2584869324629681,0.09789948815300809,0.24984395208565838,0.1339219579191483,0.1339219579191483,0.1339219579191483,0.1339219579191483,0.004385445394477584,0.005763604404379095,0.006059363829559,0.006742237712694468,0.008001503925402052,
GPEDA,parkinsons,5,((K_11*(K_13*L))+(L+(W+(K_11+P)))),0.0,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,0.0,0.8416983601167414,0.3372829285276001,0.3498796637108786,0.3780130759651609,0.21901698979056386,0.23025583919000403,0.2512297172064247,0.21811697877844743,0.09797958969902967,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,
GPBUMDA,parkinsons,5,(((H*K_13)+(K_13*L))+(L+P)),0.0,96.43589743589743,96.93589743589743,96.93589743589743,96.93589743589743,96.94871794871796,96.94871794871796,96.94871794871796,96.94871794871796,97.44871794871796,97.44871794871796,97.44871794871796,97.44871794871796,97.44871794871796,97.44871794871796,0.0,1.964820890019157,0.39271035832615125,0.20925555626387027,0.17790934042517706,0.2245356902519703,0.24707444909273907,0.2497458072957526,0.005413597133082988,0.005180268930648276,0.1008437512193901,0.12193702760998433,0.13804809244383193,0.15152286622131547,0.17525489849378062,
GP,parkinsons,3,((K_11+L)+(L*W)),0.0,96.42240215924427,96.42240215924427,96.42240215924427,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,0.0,6.438875925926479,0.7683172756182877,0.5580266015131491,0.5603661715410243,0.47813913808735287,0.4127267269747836,0.4658512141462449,0.4833336556854288,0.403955686590395,0.403955686590395,0.403955686590395,0.403955686590395,0.41737415280577833,0.32820512819834907,
GPBUMDA,parkinsons,1,((L*K_13)*K_13),0.0,96.43589743589743,96.92240215924426,96.92240215924426,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,0.0,1.006721790078812,0.3064298742045681,0.26795437620099977,0.1197858882478612,0.15277093740155437,0.18652138035294313,0.2036099387458615,0.2173077064255452,0.246134626257388,0.2527320886191234,0.2448270820272539,0.19999016192744443,0.11783849521288121,0.006216322716777918,
GP,parkinsons,5,(H*K_13),0.0,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871796,97.44871794871796,97.44871794871796,97.44871794871796,97.44871794871796,97.44871794871796,97.44871794871796,0.0,9.312433993098631,1.0815329729519016,0.31889783164007474,0.16630414218223344,0.35733103709813596,0.3707823524939156,0.3701896381259252,0.3701896381259252,0.23921853928490197,0.24615384615961533,0.23848304287127323,0.13564659964548031,0.13564659964548031,0.13564659964548031,
GPBUMDA,parkinsons,3,(((W+K_13)*((L+G)+(K_11+W)))+K_13),0.0,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642376,95.90958164642376,95.90958164642376,95.90958164642376,95.90958164642376,95.90958164642376,95.90958164642376,95.90958164642376,95.90958164642376,0.0,1.5862184089405422,0.5299388653761687,0.40320420900796705,0.3824683900338667,0.2269312576824231,0.25264647428473835,0.22404348713440028,2.805684279364651E-14,2.7835629017888547E-14,2.7387841707037966E-14,2.6702084547692946E-14,2.5759359081480292E-14,2.502902367474639E-14,2.4276726960885592E-14,
