Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAa,parkinsons,1,15,No Implementado,2620,331,12.353685688970819,2.488285466026285,4,0.8870269784155046,0.8431141119361054,3.0474430817570908,96.93522267206478,0.46123247617391855,90.71053425021945,95.12211246484296,4500,(W+(K_11*L))
GPEDAa,parkinsons,2,15,No Implementado,2630,2413,19.798365626152776,2.194370642174042,2,0.0716465670357994,0.9935919373995833,2.469891677565118,97.43522267206478,0.5012413796736789,89.75140660596323,95.44717674163778,43,(K_11*(((L+(P+R))+R)+(L+R)))
GPa,parkinsons,1,15,No Implementado,2642,1879,24.731741858908755,3.078014235667191,4,-0.1500514909592241,0.09937840600441675,1.245147035482278,96.93522267206478,0.6153535848440307,84.29983326568411,95.80059388145338,93,(K_13*((L*K_11)+(K_13*(((L*K_11)*K_13)*L))))
GPBUMDAa,parkinsons,2,15,No Implementado,2630,1188,15.979860961867178,2.11695631633188,1,0.07942862263848399,1.171045379861173,2.69538560963246,97.4480431848853,0.45252258802084155,91.36201902440446,95.37053799027055,31,((K_11*K_11)+(R+(L+R)))
GPa,parkinsons,2,15,No Implementado,2616,2475,18.407205754749725,0.23340713710210298,6,-0.29143304321289487,0.6666485245692862,2.25339462873593,96.96153846153847,0.4807115950962263,90.10000263634758,95.20520456001678,138,((H+W)+(L+R))
GPEDAa,parkinsons,5,15,No Implementado,2634,190,24.672960081381486,2.729339799151045,2,0.04438866833837496,1.493365357356803,0.45467240167171386,97.44871794871794,0.46411046661714417,91.0042389701986,96.19604941297777,81,((K_11*(K_13*L))+(L+(W+(K_11+P))))
GPBUMDAa,parkinsons,5,15,No Implementado,2638,1595,11.058545749901866,2.066999979471206,3,0.3569664341081976,0.8974897389345508,2.2605595577015336,97.44871794871796,0.4820342653032196,90.42305805924026,96.04918951330572,53,(((H*K_13)+(K_13*L))+(L+P))
GPa,parkinsons,3,15,No Implementado,2596,838,21.73630652192756,0.9896793707039543,4,-0.397422910148129,1.0932724105160334,3.901649869000223,96.93522267206478,0.4832918187900724,89.9913949141343,95.80675030341555,50,((K_11+L)+(L*W))
GPBUMDAa,parkinsons,1,15,No Implementado,2614,814,30.437131482043192,1.6610436886271234,3,0.2840283562093116,1.4517449761677748,3.607986277697197,96.93522267206478,0.5396949629372066,87.89212525706162,95.12211246484296,3846,((L*K_13)*K_13)
GPa,parkinsons,5,15,No Implementado,2620,1478,29.120013486323515,0.3586311792345504,5,0.4560113889637549,0.6641537865369526,1.439338977388065,97.44871794871796,0.48843688261604845,90.2070022056251,96.04918951330572,65,(H*K_13)
GPBUMDAa,parkinsons,3,15,No Implementado,2622,1043,26.82714567155072,1.6170239080226654,3,-0.03301003018972521,1.2992537857700996,3.2752379087922905,95.90958164642376,0.4730929915232361,89.33423365867618,94.44446687421176,106,(((W+K_13)*((L+G)+(K_11+W)))+K_13)
GPEDAa,parkinsons,3,15,No Implementado,2604,244,22.6722324549159,0.18571065396465003,6,0.1570476090715821,1.107112956240219,3.9650223648346556,96.42240215924426,0.49483844626026663,89.12421794342424,94.58891154553824,37,(R+W)
GPBUMDAa,parkinsons,4,15,No Implementado,2652,669,19.028507851212478,1.7774370716488297,2,0.44611644878753676,1.5781197319503992,2.8148308872482533,98.47435897435898,0.4794293330804528,91.0447957522761,97.61732994898624,53,(H*W)
GPEDAa,parkinsons,4,15,No Implementado,2602,164,20.445130601403267,3.8713410105307458,2,-0.5666259141999647,1.5274417496341122,0.4452518744312852,97.44871794871794,0.47814728179840155,90.55200417835168,95.50587376898456,34,W
GPa,parkinsons,4,15,No Implementado,2622,308,27.967430828947332,3.20841407463324,5,-0.5230384320204371,1.5946657129074413,3.020657833018012,97.44871794871794,0.44224921369979925,91.66927686038548,95.50587376898456,26,W
