Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,parkinsons,1,((L+(L+((L*R)+(P+P))))+(L*(P+R))),0.0,95.88326585695006,95.88326585695006,95.88326585695006,95.88326585695006,95.88326585695006,95.88326585695006,95.88326585695006,95.88326585695006,95.88326585695006,95.88326585695006,96.40958164642375,96.40958164642375,96.40958164642375,96.40958164642375,0.0,3.5485660227320457,0.6582491482697006,0.25875710480179503,0.00581483745294424,0.004747794898979465,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,0.10418349659121953,0.14423551981781177,0.17276878377017313,
GP,parkinsons,1,(R+((R+L)+(R+(P+P)))),0.0,95.87044534412955,95.87044534412955,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,0.0,6.670539875705104,1.3588823853490133,0.5144916658706128,0.42517614403956744,0.24213927127744858,0.16613010277293308,0.22870874995390084,0.23611138570820733,0.24494897430698215,0.24494897430698215,0.24494897430698215,0.24494897430698215,0.24494897430698215,0.24494897430698215,
GPEDA,parkinsons,2,(L+R),0.0,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,96.38259109311741,0.0,0.6312643460191363,0.3455740633614508,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,
GP,parkinsons,3,(L+R),0.0,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,96.42307692307692,0.0,7.850153442789969,0.7257993982787689,0.37920019171984165,0.4047025467384479,0.38693274839517905,0.2340129628817257,0.2340129628817257,2.1926629682903967E-4,2.6989825609625734E-4,2.8818011764917027E-4,3.2387599777426994E-4,3.370992524736843E-4,3.0295337650323897E-4,3.015782985847835E-6,
GP,parkinsons,4,((R+L)+L),0.0,95.39676113360323,95.39676113360323,95.39676113360323,95.39676113360323,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,0.0,7.067436013590939,1.1576030240718633,0.5460804331883615,0.25779355538435184,0.139124717599747,0.10049188687822566,0.1666469416304145,0.20512820512057353,0.251229717213665,0.2545574081228511,0.2512297172064247,0.23025583918210418,0.10049188687822566,1.3486991523486091E-6,
GPEDA,parkinsons,1,(L+(((R+R)+R)+P)),0.0,95.88326585695006,95.88326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,96.38326585695006,0.0,1.1932732207115322,0.39801326927196123,0.006405126056736365,0.1833030278149208,0.21354156505641556,0.24979991995191508,0.0979795897732896,3.814697265625E-6,3.814697265625E-6,3.814697265625E-6,3.814697265625E-6,3.814697265625E-6,3.814697265625E-6,3.814697265625E-6,
GPEDA,parkinsons,4,(R+P),0.0,95.88326585695008,95.88326585695008,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,95.90958164642375,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,0.0,1.247805069766122,0.45731281650826716,0.18076002162233934,0.22190519400616388,0.23784928584668705,0.24869823735755514,0.24006894166171988,0.1842554437594355,0.13534085625828976,0.1603728983652259,0.17941413590951905,0.21844007902378715,0.23352226720614894,0.24305768188157814,
GPEDA,parkinsons,3,(R+L),0.0,95.92240215924426,96.42240215924426,96.42307692307692,96.42307692307692,96.93589743589743,96.93589743589743,96.93589743589743,96.93589743589743,96.93589743589743,96.93589743589743,96.93589743589743,96.93589743589743,96.93589743589743,96.93589743589743,0.0,0.4090143460978136,0.1669121785512859,0.35131070075740284,0.24501514681847641,2.192704446899401E-4,0.1392682368822641,0.16681659021008963,0.1881800074641115,0.20529036134150422,0.21918402339062343,0.2513620737783181,0.2557113081624528,0.2454819890770345,0.2041154486175936,
GP,parkinsons,5,(R+L),0.0,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,0.0,8.175249944960651,1.3625873020055501,0.3254455220078664,0.33527476934166633,0.3164158338252716,0.16857794000704865,0.18965260246923688,0.21753121122678257,0.21721202796030048,0.2286316958178482,0.2528207390174468,0.23744464918098665,0.1850349581782427,0.13525068328409504,
GPBUMDA,parkinsons,5,(L+R),0.0,95.90958164642375,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,96.42240215924427,0.0,3.044239567551646,0.5305035559039709,0.2901652963266182,0.2822708583673275,0.14053717315581962,0.19890630657973785,0.24394831893414254,0.251496054654732,1.2919616627412618E-13,1.2919616627412618E-13,1.2919616627412618E-13,1.2919616627412618E-13,1.2919616627412618E-13,1.2919616627412618E-13,
