Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAc,parkinsons,1,15,No Implementado,2610,2006,18.235186453045543,1.0817096201870653,4,0.5862213007643887,0.9327700442135931,3.7054322463903073,96.40958164642375,0.4700704377466243,89.95521861547996,93.80484661001393,27,((L+(L+((L*R)+(P+P))))+(L*(P+R)))
GPc,parkinsons,1,15,No Implementado,2600,560,4.8332716301989045,1.3222782435208769,5,0.7416331995861685,0.9313009690846138,3.982875382224931,96.38326585695006,0.37184233956578316,92.71283489537689,94.47705889846324,17,(R+((R+L)+(R+(P+P))))
GPEDAc,parkinsons,2,15,No Implementado,2620,121,17.87194199669036,1.6162993493291486,4,-0.06444186140288782,1.4362564136035005,1.8262266117256645,96.38259109311741,0.3833889670359775,92.42458804112678,94.61273645051457,5,(L+R)
GPc,parkinsons,3,15,No Implementado,2630,159,3.9701442219241407,0.8228284330522866,6,-0.07590695992776353,0.2897616983873056,2.4252286156584466,96.42307692307692,0.3282353158108243,93.75600020212397,94.7812253783894,5,(L+R)
GPc,parkinsons,4,15,No Implementado,2620,877,1.6961673636691934,1.3706020648097337,6,-0.9492130035418538,1.462242401673338,1.5343742078774825,95.90958164642375,0.3525209021510644,92.72653512942948,93.53732753946481,8,((R+L)+L)
GPEDAc,parkinsons,1,15,No Implementado,2622,516,19.46645960794692,1.3006433742171848,3,0.37877944398248614,1.4840168445334156,1.0943736171681056,96.38326585695006,0.3654402490872596,92.86841745682655,94.47705889846324,14,(L+(((R+R)+R)+P))
GPEDAc,parkinsons,4,15,No Implementado,2632,1512,3.9204585820997404,1.1678421600223103,5,-0.2735631952112892,0.5428020736030086,3.2797293753296803,96.39608636977059,0.5909943997513342,85.0459576038222,94.69235551785053,8,(R+P)
GPEDAc,parkinsons,3,15,No Implementado,2620,965,1.3565522833861579,1.8979515763743404,6,-0.47024534718116595,1.1640572317797058,2.782848953749314,96.93589743589743,0.4115124359237776,92.16121461178317,94.90781940037087,7,(R+L)
GPc,parkinsons,5,15,No Implementado,2630,278,1.1995070082788075,2.858152954895418,1,0.1646957924218535,0.2987794746659928,2.127716281906309,96.42240215924427,0.4717612070827604,89.9122089964559,93.9312940987182,7,(R+L)
GPBUMDAc,parkinsons,5,15,No Implementado,2608,374,1.1894347299074042,2.7501344034926785,1,-0.5805794060204348,0.5735538204757147,1.3753793377597157,96.42240215924427,0.4692134363821235,89.9956748036638,93.9312940987182,6,(L+R)
GPEDAc,parkinsons,5,15,No Implementado,2616,1044,19.733013222908102,2.0535227249136407,3,0.2758563439793108,1.4655247678129872,4.371811966437118,96.40958164642375,0.5038132267020698,88.78852191556817,94.02610521041173,21,(((R+R)+L)+(R*R))
GPc,parkinsons,2,15,No Implementado,2600,1182,7.7019964415522075,2.976933678149681,5,-0.635416567042238,0.28513571543693617,1.0257292468316448,96.89541160593792,0.46796468102816985,90.4633653886039,94.94889484551108,7,(R+L)
GPBUMDAc,parkinsons,4,15,No Implementado,2622,2090,9.177308836235724,1.7334168875239093,4,-0.9445715977916356,1.3785114216511791,1.5259702684149214,96.40958164642375,0.3897257300606386,92.28743760121371,92.84428877718382,7,(L+R)
GPBUMDAc,parkinsons,3,15,No Implementado,2610,1400,1.52131614969933,1.3946854146390657,5,1.0,1.5375984050800438,1.2421582469501704,96.93589743589743,0.3871696880614078,92.79664943323397,94.90781940037087,5,(R+L)
