Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,parkinsons,4,((K_13*(K_13*K_11))+(H+W)),0.0,95.91025641025642,95.91025641025642,96.39676113360323,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,97.42240215924426,0.0,1.9978355453890193,0.15569691398247845,0.2447387384527275,0.305233868412489,0.3404179878789566,0.39253285990725983,0.35284167545789097,0.3108161358385944,0.33667762991110484,0.3594972276795493,0.39803886655466525,0.45444866921071503,0.4832943829910798,0.5028864630214809,
GPEDA,parkinsons,2,((H+K_11)+K_13),0.0,95.89608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,0.0,0.27878654741284514,0.24679112287977892,0.2969961382045134,0.3517462775691722,0.40552204160376903,0.44103821440885654,0.42173337993092025,0.24067569460036137,0.19998654797763216,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,
GP,parkinsons,2,((K_11*H)+H),0.0,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.90890688259108,96.90890688259108,0.0,4.383098914207641,0.5724392529530848,0.3369499528884471,0.3713061332245937,0.4411949651501094,0.46366459484347555,0.4066641721844437,0.2238591609880979,0.2238591609880979,0.2238591609880979,0.2238591609880979,0.2238591609880979,0.2238591609880979,0.09797958970831216,
GPBUMDA,parkinsons,5,((G*K_11)*H),0.0,96.42240215924426,96.42240215924426,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,96.93522267206478,0.0,1.9598373357120282,0.5172514068023556,0.3120458276384953,0.2336840614755247,0.20785558392481943,0.255595786645814,0.2590791759483701,0.1878782340455479,0.009223942025988726,1.4355129586014018E-14,1.4355129586014018E-14,1.4355129586014018E-14,1.4355129586014018E-14,1.4355129586014018E-14,
GP,parkinsons,3,((K_13*H)+W),0.0,96.44871794871794,96.44871794871794,96.44871794871794,96.44871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,0.0,3.946108963270059,0.7778954546617877,0.2442577224256632,0.31731802568553935,0.3720234022395662,0.3720234022395662,0.4079316492676066,0.33042589372760806,0.3239999059579347,0.28425039929665513,0.28661945281521634,0.19999999998854037,0.22449944320256676,0.2481934729069886,
GPBUMDA,parkinsons,3,(H*(W+K_11)),0.0,96.42240215924426,96.44871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,0.0,1.6764149661789622,0.41094998083619616,0.32516492904006045,0.30367757506147086,0.3394666107346252,0.20778442767191727,0.2356060117081521,0.2517286912663443,0.20922595744865374,0.13702374382692087,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,
GPBUMDA,parkinsons,2,(K_13+H),0.0,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,96.39608636977059,97.42172739541161,97.42172739541161,97.42172739541161,97.42172739541161,97.42172739541161,97.42172739541161,97.42172739541161,0.0,1.0104443160538623,0.3827237928796918,0.3667899268917365,0.4140658517530298,0.4200534087848399,0.26257140398920875,0.0,0.0,0.20302424976750424,0.24604914154124768,0.2810743463116314,0.3108161358385944,0.3594972276795493,0.39803886655466525,
GPEDA,parkinsons,4,(K_13+H),0.0,95.91025641025642,95.91025641025642,95.91025641025642,96.39676113360323,96.39676113360323,96.39676113360323,96.39676113360323,96.39676113360323,96.39676113360323,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,0.0,0.9258083192896541,0.22171411987088857,0.25365587303330295,0.008758673995093719,0.1319854228945022,0.1783555776690034,0.19460188934663628,0.207777960043249,0.2335222672139383,0.241494593769176,0.4643371170236838,0.3904266335221841,0.44893244272805893,0.4682977857809369,
GPEDA,parkinsons,3,((H+K_13)+((K_11+W)+K_11)),0.0,96.44871794871794,96.44871794871794,96.44871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,96.94871794871794,97.44871794871794,97.44871794871794,97.44871794871794,97.44871794871794,0.0,0.8431376867869868,0.34661190792179086,0.25228990584078304,0.19894479238565543,0.1833030277851506,0.22449944319851556,0.23999999998882535,0.24979991992642883,0.1833030277901123,0.09797958969902967,2.3360154559928683E-6,0.13564659964548031,0.1624807680835213,0.19999999998854037,
GP,parkinsons,4,((W+K_11)+(H*H)),0.0,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,96.41025641025642,0.0,8.223879423811196,1.7872827015126012,0.38857445738037644,0.37842251160369383,0.3342855331678946,0.3342855331678946,0.3342855331678946,0.22054257419086024,0.24769140331466885,0.2483413056799879,0.2483413056799879,0.2483413056799879,0.24632176068646452,0.09729128973303884,
