Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,parkinsons,4,15,No Implementado,2626,689,17.632551533341474,2.2932715422178465,2,-0.37178867189550197,1.2492712848891177,4.36711100867305,97.42240215924426,0.4730684937280376,90.700078951498,95.91630279001562,62,((K_13*(K_13*K_11))+(H+W))
GPEDAb,parkinsons,2,15,No Implementado,2620,339,13.669865460972424,3.1683070297207543,6,-0.29023811054286636,1.2326733747211267,0.5378854217689764,96.39608636977059,0.4474927955408744,90.65565844897245,94.53174603246978,125,((H+K_11)+K_13)
GPb,parkinsons,2,15,No Implementado,2608,2457,28.4668157087609,2.7903236566071072,6,0.5268296984896761,1.6968013327191593,4.953105391379732,96.90890688259108,0.42439880303245825,91.78443573918445,95.5979950443641,206,((K_11*H)+H)
GPBUMDAb,parkinsons,5,15,No Implementado,2630,493,15.479772582680836,1.4489105357210543,2,0.3900486674866532,2.0,2.210507048644941,96.93522267206478,0.4474758314762425,91.13412404860887,95.81844453079836,75,((G*K_11)*H)
GPb,parkinsons,3,15,No Implementado,2610,1006,5.189425206604248,1.8953345137602184,4,0.731684518502705,0.8019829551843294,4.513417008763659,96.94871794871794,0.6204737294073641,84.02745743284112,94.37512339945371,116,((K_13*H)+W)
GPBUMDAb,parkinsons,3,15,No Implementado,2608,512,26.921729424468076,2.2834425904837845,1,0.09948312523736505,1.1709005069165153,2.6971559176954423,96.94871794871794,0.5089418532977193,89.09836721507176,95.14133768563303,47,(H*(W+K_11))
GPBUMDAb,parkinsons,2,15,No Implementado,2602,1503,19.229099615387895,3.204315530846414,6,0.2605148489887243,1.3408655434540064,3.8195177896095673,97.42172739541161,0.4256645224510439,92.12654355968822,96.60647843400884,116,(K_13+H)
GPEDAb,parkinsons,4,15,No Implementado,2614,1788,20.79968825843423,1.8660087887901557,6,-0.6000513511539344,1.402399482595973,3.423320962055059,97.44871794871794,0.4294614699730787,92.03775127572533,95.92799701739841,97,(K_13+H)
GPEDAb,parkinsons,3,15,No Implementado,2604,1965,20.800636425605475,2.952271722679241,6,0.4218430649220619,0.9405048747416569,1.2940773175689961,97.44871794871794,0.5255350265787907,88.85802346766654,95.46024554046566,178,((H+K_13)+((K_11+W)+K_11))
GPb,parkinsons,4,15,No Implementado,2626,251,22.546488579070882,0.24251937404432997,2,0.5929682090641715,1.0498852004416674,0.6394444192573673,96.41025641025642,0.4012640862322391,91.9860962581092,92.71527952685673,57,((W+K_11)+(H*H))
GPBUMDAb,parkinsons,1,15,No Implementado,2622,1839,23.927895698195883,3.0782696973363763,4,-0.06878135026431531,1.3073889595484314,2.2546749118609326,96.39608636977059,0.7885073730461032,69.00309883883821,93.03979951220738,174,((((W+H)*W)+H)*W)
GPEDAb,parkinsons,5,15,No Implementado,2596,757,14.511431837601405,1.5489177957824487,4,0.520239271330587,1.6367986022638374,0.8064163599295043,97.43522267206478,0.5362606881509697,88.42464249398219,96.137352385631,143,(G*K_13)
GPEDAb,parkinsons,1,15,No Implementado,2618,1653,16.15090904363494,3.8557530868409193,2,0.05838785542815474,1.170742100754939,0.22591675330701522,96.39608636977059,0.6705074468029061,80.3349193726439,93.80247535749044,40,W
GPb,parkinsons,5,15,No Implementado,2636,2638,22.38361239858376,1.6720571822298704,4,0.41168388813857226,0.2777992006851802,4.146587913900619,96.93522267206478,0.4590226696801589,90.779817189232,95.81844453079836,131,((K_13*H)+(G+K_13))
GPb,parkinsons,1,15,No Implementado,2602,82,23.720336748119202,3.2090132607240807,4,0.037689086550107165,1.3255736807108756,2.130127370103008,95.88326585695006,0.7448757461290849,73.44757695093129,92.7761413185007,86,((W*K_13)*(H*K_11))
