Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,thoracic,1,P,0.0,85.1063829787234,85.95744680851064,85.95744680851064,85.95744680851064,86.17021276595744,86.17021276595744,86.17021276595744,86.17021276595744,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,87.02127659574468,87.02127659574468,0.0,0.960081481375363,2.5231850729604633E-6,0.23213926293713102,0.312700818240312,0.35602554321209157,0.4006332696525465,0.3900064421207912,0.3166140465961512,0.1995921599961025,0.19030365764540835,0.24577921834829533,0.2544666619231762,0.2518918908534132,0.2906105715606574,
GPEDA,thoracic,3,G,0.0,85.1063829787234,85.74468085106382,85.74468085106382,85.74468085106382,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,0.0,0.7730171116849408,2.5231850729604633E-6,0.17316587192692814,0.2544666619303244,0.2843113717284756,0.4656804772936145,0.5030643985128409,0.48860255640822436,0.44662610258427854,0.43395910754233896,0.40851063830322126,0.362677034082917,0.28226593960177354,0.17021276596028778,
GPEDA,thoracic,2,((P+P)*(W+H)),0.0,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,86.38297872340425,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.80851063829786,86.80851063829786,0.0,1.4813401002237414,0.23088782922080422,0.27656300952828167,0.31569765092140784,0.3429692200849595,0.4386076162368002,0.5277968249832323,0.532442291730927,0.4417341028865855,0.37233434645840635,0.3762048698765456,0.3504895367155263,0.2855823274091142,0.29160581615078207,
GPBUMDA,thoracic,3,((R*P)*G),0.0,85.1063829787234,85.1063829787234,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,0.0,2.395202106074161,7.177564793007009E-14,7.177564793007009E-14,0.25270039598721233,0.38867758619059173,0.466622227458935,0.48548555308926433,0.5180386652031,0.5504121478192141,0.5646627275355504,0.5655292139829531,0.5579639250677267,0.5203874133802835,0.472856851359322,
GP,thoracic,1,(G*P),0.0,85.1063829787234,85.53191489361703,85.53191489361703,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,86.80851063829788,0.0,7.746158381387108,0.9045331237883025,0.11544391463896073,0.13828150478305007,0.4680077305546273,0.6099224805872874,0.6606579981349154,0.6332280932009201,0.593063877114138,0.593063877114138,0.593063877114138,0.593063877114138,0.593063877114138,0.593063877114138,
GP,thoracic,3,(P*R),0.0,85.3191489361702,85.3191489361702,85.3191489361702,85.53191489361703,85.53191489361703,85.53191489361703,85.53191489361703,85.95744680851064,85.95744680851064,85.95744680851064,86.17021276595743,86.17021276595743,86.17021276595743,86.17021276595743,0.0,8.087945750028894,1.0071361492755575,0.057721957343115075,0.0691407524211221,0.134565006841155,0.14838804916475826,0.15366357520830382,0.15553759050334984,0.20742225712963142,0.229313933358954,0.229313933358954,0.229313933358954,0.229313933358954,0.229313933358954,
GPBUMDA,thoracic,1,P,0.0,85.1063829787234,86.17021276595743,86.17021276595743,86.17021276595743,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.80851063829786,86.80851063829786,86.80851063829786,0.0,1.8665136583896045,0.2588052375111565,0.21058366332267528,0.2606194397919038,0.29544320098277144,0.40417528278968784,0.4433107062172101,0.504961885428781,0.5379852798108387,0.5621703023534644,0.5587415985758772,0.4930386754283307,0.47236815070646154,0.3471970542080496,
GP,thoracic,2,((R*P)*((P*R)*(L*P))),0.0,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,87.4468085106383,87.4468085106383,87.4468085106383,87.4468085106383,87.4468085106383,87.4468085106383,87.4468085106383,87.4468085106383,87.4468085106383,87.4468085106383,0.0,6.40442355048709,1.6609050857714933,0.23088782922080422,0.31569765092140784,0.3429692200849595,0.6256332238155179,0.7333978050331104,0.7120510864120488,0.7120510864120488,0.7120510864120488,0.7120510864120488,0.7120510864120488,0.7120510864120488,0.7120510864120488,
GPBUMDA,thoracic,2,((G*P)*(G*P)),0.0,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.59574468085107,0.0,1.9531753025102117,1.3029270336989751,0.262033554565864,0.3008964719288538,0.33173889987899663,0.3569584621994554,0.37476102821392004,0.405612780923704,0.4374365588288106,0.42961561904807505,0.41115527771101396,0.35344718209021586,0.2553553050024021,0.19300311545945079,
