Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAa,thoracic,1,15,No Implementado,2596,2383,24.333071506456143,1.2879717916000135,3,0.15959442748560487,0.118921969480042,4.846904906054651,87.02127659574468,0.29148936170212764,79.00087955993595,20.0,10813,P
GPEDAa,thoracic,3,15,No Implementado,2604,963,22.052899079350716,1.2582417413863518,3,0.09215614830735266,1.5522690525783218,0.3555334866166979,86.59574468085106,0.3776595744680851,75.01564894170838,20.0,388,G
GPEDAa,thoracic,2,15,No Implementado,2624,2502,25.979622018040075,4.0,6,0.016035920160839087,0.6321218201142328,2.1246300707301113,86.80851063829786,0.2978723404255319,78.32093975810932,20.0,539,((P+P)*(W+H))
GPBUMDAa,thoracic,3,15,No Implementado,2646,557,13.788965945405476,2.241875198071427,3,0.062082604906060136,0.995253166244957,2.538377827026842,86.38297872340425,0.2978723404255319,77.35823208074908,19.87460691435179,424,((R*P)*G)
GPa,thoracic,1,15,No Implementado,2638,708,23.57477045512672,3.3280622949024057,1,0.03020094243944138,0.8027320854372971,4.336815749688995,86.80851063829788,0.2978723404255319,78.32093975810935,20.0,638,(G*P)
GPa,thoracic,3,15,No Implementado,2640,1998,15.391780960150118,3.9152011270808065,2,0.016115832306734745,0.9863227017900333,3.503487207876655,86.17021276595743,0.2978723404255319,76.8725127202755,20.0,62,(P*R)
GPBUMDAa,thoracic,1,15,No Implementado,2618,2331,23.160779765066025,3.253203539884024,6,-0.8144787444693173,1.4186568077885455,2.7363132898569815,86.80851063829786,0.2978723404255319,78.32093975810932,19.748417658131498,7,P
GPa,thoracic,2,15,No Implementado,2628,987,17.7227414000006,0.3047929940043928,1,-0.588093947619144,1.3470199945846841,0.6189827358949745,87.4468085106383,0.2978723404255319,79.74109065029839,39.87460691435179,140,((R*P)*((P*R)*(L*P)))
GPBUMDAa,thoracic,2,15,No Implementado,2632,2641,14.695408620290022,3.2817670299546617,3,0.6065433425385152,0.11059127089705825,1.5657947229264397,86.59574468085107,0.25638297872340426,79.14159017883827,19.7484176581315,7840,((G*P)*(G*P))
GPBUMDAa,thoracic,5,15,No Implementado,2616,633,13.945838645947399,1.8709290395310856,2,-0.08331723244743806,0.9046522780584129,2.7883880110721653,86.80851063829788,0.2978723404255319,78.32093975810935,20.0,464,(L*P)
GPBUMDAa,thoracic,4,15,No Implementado,2642,1786,15.801632339461047,2.0590586328918867,6,-0.09000830450601655,0.9969824532496988,4.021593794046989,86.80851063829786,0.2978723404255319,78.32093975810932,19.87460691435179,183,(P*K_11)
GPa,thoracic,5,15,No Implementado,2590,733,21.057770794818854,1.5965776680228674,5,-0.4135263871949735,0.9297784431048589,3.279332255371746,87.87234042553192,0.2978723404255319,80.670264041457,39.36819560396972,149,((W*P)*(W+L))
GPEDAa,thoracic,4,15,No Implementado,2620,2106,23.296174052416372,2.6832608078544746,5,0.07987567679914442,0.8099765470633549,3.543104944744096,87.6595744680851,0.2978723404255319,80.20753260294704,39.62302457248329,146,((R*P)*(W*K_11))
GPEDAa,thoracic,5,15,No Implementado,2598,1484,14.959933710714084,2.1521055321724805,4,0.397953458967201,0.5877279193614284,2.330591395803752,87.02127659574468,0.48936170212765956,71.2171929424618,19.87460691435179,181,((R*P)+L)
GPa,thoracic,4,15,No Implementado,2622,1662,1.1275819515604795,1.9868228251985294,2,0.3454955657020409,1.8303427227301132,1.8483233175557152,87.44680851063829,0.2978723404255319,79.74109065029835,40.0,102,((P*E)*(R*P))
