Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,thoracic,3,(((P*L)+P)*((R*P)+(P+L))),0.0,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.74468085106382,85.74468085106382,85.74468085106382,0.0,2.5231850729604633E-6,0.057721957350993315,0.0691407524211221,0.09086875111393698,0.0955316780024559,0.10561424383426524,0.12794294791844718,0.12508032729394342,0.10283443378281672,0.08510638295743495,0.0955316779310533,0.10212765956495178,0.13456500680060232,0.13018773223671368,
GPBUMDA,thoracic,3,(P*R),0.0,85.1063829787234,85.1063829787234,85.1063829787234,85.1063829787234,85.1063829787234,85.3191489361702,85.3191489361702,85.3191489361702,85.3191489361702,85.3191489361702,85.3191489361702,85.3191489361702,85.3191489361702,85.3191489361702,0.0,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,0.04211673266453214,0.05104210914951019,0.058307976096557294,0.06447781541332046,0.07879319194051503,0.09179129075840724,0.09427392605966235,0.10432219179700127,
GP,thoracic,2,((P*P)+P),0.0,85.53191489361703,85.53191489361703,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,85.74468085106382,0.0,2.1606631780423555,0.11544391463896073,0.13828150478305007,0.20950695533319455,0.23860163012298607,0.2553191489506729,0.28659503389153684,0.2918540970257801,0.29407919223582984,0.2802055767417016,0.16012670402178011,0.1160696314656271,0.1160696314656271,0.1160696314656271,
GP,thoracic,3,(P*P),0.0,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.31914893617021,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361703,0.0,2.037227098483604,0.057721957343115075,0.07800128843791704,0.0955316779834152,0.10212765959612091,0.10423360610434161,0.10629783829706956,0.10561424382565375,0.09925024503230434,0.09086875108391033,0.073211278850756,0.05772195728796741,0.05772195728796741,0.05772195728796741,
GPBUMDA,thoracic,4,(R*P),0.0,85.31914893617021,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,85.95744680851064,0.0,7.177564793007009E-14,0.04211673266453495,0.17194084110220234,0.23500765723637831,0.29706481401238716,0.31237562589213425,0.32648957987564786,0.33802887187705616,0.3592288193365638,0.37236209771483875,0.38593442248541243,0.3836053727540692,0.3733532149795538,0.30395133676571745,
GPBUMDA,thoracic,2,L,0.0,85.1063829787234,86.17021276595744,86.17021276595744,86.17021276595744,86.17021276595744,86.17021276595744,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,0.0,7.177564793007009E-14,7.177564793007009E-14,0.2118521193335211,0.27910611822492776,0.31023888742991246,0.3364124827113857,0.4150911516786457,0.45693905302016136,0.4752539402145395,0.49153733614668216,0.5162700917407501,0.5342803996432215,0.476729043796681,0.3482597963758129,
GPEDA,thoracic,4,P,0.0,85.53191489361703,85.53191489361703,85.53191489361703,85.53191489361703,85.53191489361703,85.53191489361703,85.53191489361703,85.53191489361703,85.53191489361703,85.74468085106382,85.74468085106382,85.74468085106383,85.74468085106383,85.74468085106383,0.0,2.5231850729604633E-6,0.11544391463896073,0.13828150478305007,0.18173750218033177,0.20566886765628714,0.20777115943349708,0.20211646106525533,0.19030365766452506,0.14392795339882228,0.04169344242646695,0.057721957295845644,0.06914075238823647,0.09553167796437452,0.10561424379551358,
GP,thoracic,4,P,0.0,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.95744680851064,86.17021276595744,86.17021276595744,86.17021276595744,86.17021276595744,0.0,4.717412338994767,0.11544391463896073,0.1382815047797615,0.1560025768583441,0.17021276597631763,0.19106335594064947,0.19850049005315412,0.20425531916997816,0.2084672121694183,0.21122848761470872,0.2489998100091511,0.3004146824592151,0.2561687990237646,0.23307342871705455,
GPEDA,thoracic,2,((R+R)*P),0.0,85.31914893617021,85.31914893617021,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,85.53191489361701,0.0,2.5231850729604633E-6,0.0691407524211221,0.07800128846706704,0.1488753675484565,0.16720751239822945,0.16677376973586183,0.16281809761263977,0.13294041999107256,0.10629783825428907,0.10561424376967915,0.10423360605198836,0.09925024498190427,0.08510638293606182,2.5231850729604633E-6,
GP,thoracic,5,(P*(R+L)),0.0,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,0.0,4.801267374557899,0.4040537011294436,0.5331220345020482,0.7043806535021806,0.7352718660947026,0.757685833671827,0.7723609398842122,0.7154000232721219,0.6801059752829872,0.6801059752829872,0.6801059752829872,0.6801059752829872,0.6801059752829872,0.6801059752829872,
