Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,thoracic,3,H,0.0,85.31914893617021,85.53191489361701,85.74468085106383,85.74468085106383,85.74468085106383,85.74468085106383,86.17021276595744,86.17021276595744,86.17021276595744,86.17021276595744,86.17021276595744,87.02127659574468,87.02127659574468,87.23404255319149,0.0,2.947594631995674,1.428273767531437,0.0995179566763815,0.19433879309529506,0.1281651458417303,0.0644778154133283,0.07457655255054747,0.14282478937097778,0.16430249693340337,0.18282616057615794,0.22335770451385634,0.23390432880784845,0.3518491100784987,0.4238132469373056,
GP,thoracic,2,H,0.0,85.3191489361702,85.3191489361702,85.3191489361702,85.3191489361702,86.17021276595743,86.17021276595743,86.17021276595743,86.17021276595743,86.17021276595743,86.17021276595743,86.17021276595743,86.17021276595743,86.17021276595743,86.59574468085106,0.0,8.293030775214826,1.6928256463919202,1.2055102100171566,0.8163117486508997,0.38060731532188136,0.21597578792873962,0.272340425536594,0.31107518097161513,0.31107518097161513,0.31107518097161513,0.31107518097161513,0.31107518097161513,0.31107518097161513,0.4036950204434861,
GP,thoracic,1,H,0.0,85.1063829787234,85.1063829787234,85.95744680851064,85.95744680851064,85.95744680851064,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,0.0,3.1781964301574717,2.0622454985168646,1.2798822942716237,0.17565759524112703,0.1667737697413153,0.27656300952828167,0.561315147165564,0.6360812575702143,0.6693713056103604,0.7010823940973656,0.6433277000473344,0.6433277000473344,0.6433277000473344,0.6433277000473344,
GPBUMDA,thoracic,1,H,0.0,85.1063829787234,87.23404255319149,87.23404255319149,87.23404255319149,87.23404255319149,87.23404255319149,87.23404255319149,87.6595744680851,87.6595744680851,87.6595744680851,87.6595744680851,87.6595744680851,87.6595744680851,87.6595744680851,0.0,1.7909724799371098,1.2882732778912243,0.4430814057637003,0.5559069693590537,0.6957764118145423,0.771342021015008,0.8607781649622311,0.8575522516840867,0.8521594335212772,0.7923283208586782,0.5863819231523164,0.5018235649495066,0.4848762204950979,0.4674332805467916,
GPEDA,thoracic,1,G,0.0,85.3191489361702,86.17021276595744,86.38297872340425,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,86.59574468085106,87.23404255319147,87.23404255319147,87.23404255319147,87.23404255319147,87.23404255319147,0.0,1.4343897553044547,0.08510638301621104,0.2891112808855972,0.4603618157070625,0.5145946028204311,0.4958131630143111,0.4811334136215209,0.4543437554065401,0.412217226837744,0.35663535046450706,0.3245221440814808,0.2516041786904206,0.2757761999201564,0.2827786846799909,
GPBUMDA,thoracic,2,H,0.0,85.3191489361702,85.3191489361702,85.3191489361702,86.17021276595743,86.17021276595743,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.02127659574468,87.44680851063829,87.44680851063829,87.44680851063829,87.44680851063829,0.0,1.8238295970765768,1.2556170491241343,0.7761657913908242,0.08257189252995063,0.21753234661841506,0.2332319043862489,0.4096244708803049,0.46288505479240527,0.5251413611002033,0.6168939302417941,0.6375881929728276,0.7157908779676753,0.740905932875364,0.7522903041727298,
GPEDA,thoracic,4,G,0.0,85.1063829787234,85.74468085106383,85.74468085106383,85.74468085106383,85.74468085106383,85.74468085106383,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,86.38297872340425,0.0,2.1395412919106898,0.5235253276340807,0.17316587192692814,0.2603754645328086,0.27577619994653996,0.2943253866621829,0.29530811188315703,0.366056394344467,0.32961560393149436,0.3108422530738602,0.26037546452931554,0.2685912142626717,0.2865950338756696,0.28684765185144884,
GPEDA,thoracic,5,H,0.0,85.1063829787234,85.1063829787234,85.1063829787234,85.3191489361702,85.3191489361702,85.53191489361701,85.53191489361701,85.53191489361701,85.74468085106382,86.38297872340425,86.38297872340425,86.38297872340425,86.59574468085107,86.59574468085107,0.0,1.9303583569246099,1.138645800872697,0.8257512321082103,0.09553167796437452,0.057721957343115075,0.07800128846706704,0.13294042003212078,0.14887536754540198,0.1560025768670891,0.1833247593920945,0.2881074192185755,0.3120051536889957,0.3346315446972367,0.42125510368440255,
GPEDA,thoracic,2,E,0.0,85.3191489361702,85.53191489361703,85.95744680851064,86.38297872340425,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,86.59574468085107,0.0,1.3180778080972826,0.3624772670486441,0.14392795341777959,0.25757865448392037,0.36861970770647406,0.41693442429957167,0.4336251643483537,0.4381119208898668,0.4294289638019304,0.4258722043661078,0.3821267118420275,0.35028281918034815,0.3108422530621566,0.18173750215030512,
