Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,thoracic,3,15,No Implementado,2616,2610,7.688770118970315,2.8893307699838413,3,0.6008063668574797,1.2256784735006354,2.456959141822198,87.23404255319149,0.4154255319148937,75.0405253000672,39.87460691435179,85,H
GPb,thoracic,2,15,No Implementado,2630,2699,22.206953238271147,1.7962399493103116,6,0.2903825296070308,1.772825593723943,1.9778487050386957,86.59574468085106,0.4117021276595745,73.6582273738794,20.0,446,H
GPb,thoracic,1,15,No Implementado,2632,1030,11.598533439082793,1.7713686001112596,6,-0.5246039826724878,1.4211711351295284,3.7512418864542276,87.02127659574468,0.35265957446808505,76.94062956637883,20.0,494,H
GPBUMDAb,thoracic,1,15,No Implementado,2626,1482,4.842904738129,3.1641394540967838,6,-0.08099974305020019,1.8286379918057887,5.0,87.6595744680851,0.39361702127659576,76.90434734166828,20.0,437,H
GPEDAb,thoracic,1,15,No Implementado,2620,1827,12.890247999870553,1.5977713964765206,3,0.4935929147673929,1.4903049966171409,3.5306677841905296,87.23404255319147,0.4170212765957446,74.97531862452892,19.87460691435179,193,G
GPBUMDAb,thoracic,2,15,No Implementado,2626,1996,13.257716613346947,1.5591152327189246,5,-0.21141708775661755,1.1802627903843834,3.1020583692353183,87.44680851063829,0.4186170212765957,75.41730537995736,19.748417658131498,137,H
GPEDAb,thoracic,4,15,No Implementado,2614,1220,6.602184064049564,1.7083869905860307,4,0.9581817824829297,1.4662387481596626,2.1096717614682436,86.38297872340425,0.4154255319148937,72.98584931576532,20.0,265,G
GPEDAb,thoracic,5,15,No Implementado,2614,2341,1.5382502009196437,2.1651590725087764,5,0.6902204903619962,0.38448365073050766,1.8860536056526043,86.59574468085107,0.4329787234042553,72.75678808569046,20.0,137,H
GPEDAb,thoracic,2,15,No Implementado,2612,908,7.3985820242863145,2.042596428762406,1,-0.3480470755853547,1.0560856223316257,4.854051173235707,86.59574468085107,0.2978723404255319,77.84108689503222,39.87460691435179,18,E
GPb,thoracic,4,15,No Implementado,2622,1797,9.283857154040025,0.1438867980528908,6,0.3334027659598795,1.064511664223586,3.185438858560224,86.17021276595743,0.40319148936170207,72.97653925102185,20.0,221,H
GPEDAb,thoracic,3,15,No Implementado,2606,2108,5.291393584368545,2.5753808678057046,5,0.7161416717199109,0.7187924465359777,3.9854930659989387,86.59574468085106,0.4271276595744681,73.00897289686257,20.0,137,H
GPb,thoracic,5,15,No Implementado,2594,891,30.996427170383164,2.7148040958744573,6,-0.2043913127989374,0.07781305891690336,3.64446776443937,86.17021276595746,0.37606382978723407,74.0624657153231,20.0,448,H
GPBUMDAb,thoracic,4,15,No Implementado,2596,1901,19.245859033126983,2.3100858397660433,6,0.36541648983925856,0.7587737826614729,3.6209073018665734,86.59574468085107,0.3537234042553192,75.91258134015634,20.0,223,H
GPBUMDAb,thoracic,5,15,No Implementado,2616,1099,13.168882793706578,1.2920448624652208,1,0.5380500275584076,1.0E-4,3.1768569741130883,86.80851063829788,0.4127659574468085,74.1284701506162,20.0,70,G
GPb,thoracic,3,15,No Implementado,2632,608,18.013176285088335,3.87744416908452,1,-0.9596450183685179,0.5499375538894067,0.9380475328831323,86.38297872340425,0.2978723404255319,77.35823208074908,20.0,70,(E*E)
