Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,transfusion,1,((W*H)+(R+E)),0.0,79.67964205816554,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,80.62102908277404,0.0,0.9550062897579571,0.38302367632867,0.40505419009869714,0.34812158665420484,0.35899781209385606,0.4045888677357611,0.42242720215530805,0.44627762651668057,0.44077736957758473,0.42899394536667074,0.436686278062883,0.43381996227046143,0.4234889279805737,0.3662718847214318,
GPBUMDA,transfusion,3,(L*(H+R)),0.0,80.08053691275168,80.21387024608501,80.21387024608501,80.351677852349,80.48501118568234,80.48501118568234,80.48501118568234,80.88053691275168,80.88053691275168,80.88053691275168,80.88053691275168,80.88053691275168,80.88053691275168,80.88590604026845,0.0,1.4200935679289346,0.5533603561729745,0.6082242989968808,0.4476558568363305,0.2354353537508454,0.16695461818200252,0.1512744910737939,0.13927119043516423,0.18581777491777768,0.1787753851687831,0.18982715292079358,0.20044805906449883,0.18909906180856026,0.19146299608220865,
GPBUMDA,transfusion,4,((G+P)+((R+L)+L)),0.0,78.87785234899329,78.87785234899329,78.87785234899329,78.87785234899329,78.87785234899329,78.87785234899329,78.87785234899329,78.87785234899329,79.00939597315435,79.00939597315435,79.14451901565995,79.27874720357941,79.27874720357941,79.27874720357941,0.0,1.0865610166352373,0.5486744366355871,0.33584287402474733,0.20878127588470513,0.18398042932495945,0.17309776142589392,0.17064325852885764,0.17517041304711725,0.175595532415312,0.16601514972969822,0.1298015639907408,0.13146536876325804,0.12013225823849978,0.13145516893552397,
GP,transfusion,1,((R+L)*((R+L)+R)),0.0,79.54720357941835,79.54720357941835,79.54720357941835,79.67964205816554,79.94720357941834,79.94720357941834,79.94720357941834,80.21297539149887,80.21297539149887,80.21297539149887,80.21297539149887,80.21297539149887,80.21297539149887,80.21297539149887,0.0,1.6605415373299757,0.6782258549090638,0.38944689099317953,0.22379954753628128,0.15476725281204493,0.1167717635473657,0.13705082889255787,0.14493639041157566,0.18301627952032862,0.17708285883811245,0.21008853138214834,0.24139050099891526,0.24139050099891526,0.24209109594516479,
GPBUMDA,transfusion,5,((L*R)+((L*G)*(E+R))),0.0,79.14451901565995,80.21208053691274,80.21208053691274,80.8841163310962,80.8841163310962,80.8841163310962,80.8841163310962,80.8841163310962,80.8841163310962,80.8841163310962,80.8841163310962,80.88590604026845,80.88590604026845,80.88590604026845,0.0,2.5925164281848496,0.6662052012326283,0.6966076076791419,0.47573487856074465,0.45260370399177685,0.3804108422302943,0.42968211170213455,0.44612398582941293,0.4751503748301659,0.49347837435632724,0.5078451908015303,0.47013556853946503,0.4179339045261003,0.35649277506848154,
GPEDA,transfusion,4,(H+R),0.0,78.47427293064877,78.87427293064876,78.87427293064876,79.27964205816554,79.27964205816554,79.27964205816554,79.27964205816554,79.27964205816554,79.27964205816554,79.27964205816554,79.27964205816554,79.27964205816554,79.41118568232663,79.41118568232663,0.0,0.576993537216744,0.4715160788311618,0.22065839924409533,0.16083094191785488,0.23116503324103344,0.25221724137314266,0.24769587875851498,0.21443484227125373,0.18831474013506705,0.19057968861977215,0.17482039696764434,0.1376841958675708,0.08991004415129963,0.035686890583585346,
GP,transfusion,5,(((L*R)+L)+L),0.0,79.40939597315436,79.94451901565995,80.07427293064877,80.07427293064877,80.07427293064877,80.07427293064877,80.07427293064877,80.07427293064877,80.07427293064877,80.48322147651007,80.48322147651007,80.48322147651007,80.48322147651007,80.48322147651007,0.0,8.137208707783252,1.0993693404136535,0.9751115442501893,0.765609282702293,0.5457579352730308,0.2887733456738251,0.20716959709081526,0.1732096403471512,0.13874598436183813,0.15751524775331663,0.1441843737007358,0.19752245583775946,0.21254098460115273,0.1907776789317068,
GP,transfusion,3,((H+R)*(H+R)),0.0,79.94720357941836,79.94720357941836,79.94988814317672,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,81.14451901565997,0.0,7.384924907213983,1.0271876100487287,0.7315125097068008,0.6035030042023727,0.6635368457106957,0.49847633748739256,0.49301855541599465,0.6109718220880146,0.5984077476259163,0.6202561447223879,0.6313931869235356,0.6186476136915734,0.6196206236046573,0.6008793509417283,
GPEDA,transfusion,5,((L*R)+(R+R)),0.0,79.01118568232661,79.54362416107382,79.67785234899328,79.67785234899328,79.81208053691276,79.81208053691276,80.08232662192394,80.08232662192394,80.08232662192394,80.4778523489933,80.88501118568233,80.88501118568233,80.88501118568233,80.88501118568233,0.0,0.7336012037621649,0.5005923424285783,0.41721395284077595,0.26051613110196437,0.12484545279345816,0.11169362591119776,0.0570160557879698,0.11444266435959585,0.12539186280224873,0.11376214801666912,0.18219608562798315,0.25456774446697156,0.3145387184871366,0.3184065627918787,
GPEDA,transfusion,3,(L+((L*(H+R))*(H+R))),0.0,79.94720357941834,79.94720357941834,80.47874720357943,80.47874720357943,80.47874720357943,80.74720357941834,80.74720357941834,80.74720357941834,80.74720357941834,80.74720357941834,80.74720357941834,80.74720357941834,80.74720357941834,80.74720357941834,0.0,0.7922590315188479,0.4803996341180209,0.2749753670111349,0.2695314039836832,0.23418889905441695,0.19091892693322896,0.21240669582932886,0.18088800881799044,0.14609437083424617,0.1400853924091567,0.12053661383694639,0.12885906044093073,0.1332582405300957,0.1332582405300957,
