Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAa,transfusion,1,15,No Implementado,2616,343,19.908189850930388,3.886271006129382,2,-0.6992962448046921,1.855578786494072,2.621059090866223,80.62102908277404,0.41647673658996875,58.46682438092593,63.47290541107121,28217,((W*H)+(R+E))
GPBUMDAa,transfusion,3,15,No Implementado,2624,2589,10.717007185395255,3.828906782244026,1,0.1686747717890869,0.6813810740109926,2.971740671800585,80.88590604026845,0.47359757901965926,56.26100552114017,60.2956662010331,308,(L*(H+R))
GPBUMDAa,transfusion,4,15,No Implementado,2632,2269,10.094499733174622,1.8009364849521328,6,-0.24984097979087222,1.343735236375087,1.8303737635026853,79.27874720357941,0.4722592280333444,52.28443542050998,56.00364756767249,1154,((G+P)+((R+L)+L))
GPa,transfusion,1,15,No Implementado,2616,1458,5.727833825992146,2.8785979690686663,4,-0.9394584978266527,0.8281638257817883,1.7712096970429987,80.21297539149887,0.4779465217949649,54.322444832497766,56.1957087719734,769,((R+L)*((R+L)+R))
GPBUMDAa,transfusion,5,15,No Implementado,2628,2169,14.133515381802134,2.8378338170822293,2,0.13828959092481202,1.3245300255629298,3.0024909646591653,80.88590604026845,0.4719236631844602,56.34948334739569,62.097832250822464,647,((L*R)+((L*G)*(E+R)))
GPEDAa,transfusion,4,15,No Implementado,2644,2509,6.094849830796908,3.6836952377212153,3,0.7377755799344998,0.8835824140116333,1.713922953024547,79.41118568232663,0.48261930419148974,52.05779544969262,54.92349382173927,188,(H+R)
GPa,transfusion,5,15,No Implementado,2630,1900,27.8142679596897,2.791432719627935,5,0.6949172319771868,1.6185844963465015,4.847315600320434,80.48322147651007,0.47192310484028566,55.32686154509258,59.379924266677634,357,(((L*R)+L)+L)
GPa,transfusion,3,15,No Implementado,2600,764,9.362071694888968,3.6675510827980142,2,0.004094092894159296,1.7542198552543664,2.700428832088785,81.14451901565997,0.4595390310495195,57.653495416918766,66.1681083774084,648,((H+R)*(H+R))
GPEDAa,transfusion,5,15,No Implementado,2620,2128,21.140377790740708,2.5857758015459806,3,-0.47976058705527114,1.3027944887975669,3.4181210876706767,80.88501118568233,0.47593369104583444,56.13478853540836,59.80931892817434,384,((L*R)+(R+R))
GPEDAa,transfusion,3,15,No Implementado,2590,1083,4.347342497380403,2.1628543736856125,4,-0.13934860036212454,0.9439949342763916,4.738268023987261,80.74720357941834,0.47794373007409235,55.67685698584719,59.87227735505782,949,(L+((L*(H+R))*(H+R)))
GPa,transfusion,4,15,No Implementado,2618,2358,5.0283443160305765,0.35547575177215124,6,-0.371942544514291,1.0823012199841018,4.011226704503915,79.5454138702461,0.4695853177815869,53.09107392518201,57.04313576532172,516,(R+G)
GPEDAa,transfusion,1,15,No Implementado,2614,891,16.90357489937079,2.4165828827003812,1,0.41641162879281945,1.0E-4,4.1666115304432525,80.08053691275168,0.4836259987381421,53.68216685028325,56.65583140824604,399,((R*H)*R)
GPa,transfusion,2,15,No Implementado,2596,1189,19.843676859674854,1.2848580232744422,5,0.576883763007521,1.553552682394913,4.442255504431914,80.87964205816554,0.47292477428936747,56.28065232831418,58.960740011595774,2410,((R+((H+G)*(R+(R+R))))+(P+R))
GPEDAa,transfusion,2,15,No Implementado,2598,1877,21.378959330555606,2.30129954339439,4,0.5186835923461481,1.0E-4,4.769569693309105,81.02192393736019,0.4759308993249619,56.483976133001434,60.85343013149897,567,((L*R)*G)
GPBUMDAa,transfusion,2,15,No Implementado,2596,2140,17.661158671385607,2.704481999534333,5,0.5966290074503481,0.5332962976607376,3.2613479186607455,80.88859060402686,0.4759308993249619,56.144055160035734,61.73694161374688,726,((L*G)*(R+H))
