Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,transfusion,1,((R+(L+R))+(R*L)),0.0,79.27964205816554,79.41208053691275,79.68501118568233,79.81208053691276,79.81208053691276,79.81208053691276,80.07874720357941,80.07874720357941,80.07874720357941,80.07874720357941,80.07874720357941,80.07964205816555,80.07964205816555,80.07964205816555,0.0,0.6300387910102693,0.1542637949638987,0.11123986850899091,0.14691821030817911,0.19316686532546418,0.19078267541769978,0.20319814748543336,0.2504858543804504,0.2598007178542249,0.2645391255143136,0.23795922542891146,0.17445720749219318,0.14486908542234397,0.13221959539023656,
GPBUMDA,transfusion,1,((R+L)+(((R+P)+L)+P)),0.0,79.14541387024607,79.27964205816554,79.54541387024608,79.54630872483222,79.54630872483222,79.54630872483222,79.54630872483222,79.54630872483222,79.54720357941835,79.54720357941835,79.54720357941835,79.67964205816556,79.67964205816556,79.67964205816556,0.0,0.90621428213238,0.27246340335767405,0.12408447112401678,0.12241617632401527,0.11375313869364063,0.12420161452480845,0.13934106083732453,0.1490689222274302,0.14606515624508656,0.14510900831181472,0.13174226676669726,0.13418252157503288,0.14043608494003856,0.1372115308395351,
GPBUMDA,transfusion,4,((R*L)*L),0.0,79.68232662192393,79.81476510067114,79.81476510067114,79.94809843400448,79.94809843400448,79.94899328859061,80.08232662192394,80.08232662192395,80.35346756152126,80.35346756152126,80.35346756152126,80.74899328859061,80.74899328859061,80.74899328859061,0.0,1.1653519108315107,0.1831092029285159,0.1290712748759695,0.13990312841154456,0.12015194354130142,0.11555012779063471,0.08769812760797233,0.08208174247087449,0.07759926082279173,0.09504867533935234,0.09900331003963757,0.07588685054172367,0.17347072415581785,0.20907274072393012,
GPEDA,transfusion,3,(R*L),0.0,79.5543624161074,79.5543624161074,79.82102908277406,79.95615212527964,79.95615212527964,79.95615212527964,79.95615212527964,79.95615212527964,79.95615212527964,81.0255033557047,81.0255033557047,81.0255033557047,81.0255033557047,81.0255033557047,0.0,0.5500086684065216,0.1282726702414485,0.0606241256950781,0.11492415908523923,0.13054475832300344,0.1362258812581549,0.11189381973368363,0.08468645102788508,0.05793113602492508,0.060581631761361686,0.31950698174692876,0.40497175953844095,0.4220212798519012,0.4411476643367184,
GP,transfusion,1,((R+L)*((P+L)*(R+R))),0.0,79.27785234899329,79.41565995525727,79.41565995525727,79.41565995525727,79.41565995525727,79.41565995525727,79.41565995525727,79.41565995525727,79.54630872483222,79.54630872483222,80.21208053691275,80.21208053691275,80.21208053691275,80.21208053691275,0.0,0.7682520243710058,0.6618978001213982,0.4143957004454402,0.3169688549720459,0.17623849179502313,0.13095694217511175,0.12311099140373807,0.135914450262047,0.11398913850596652,0.11398913850596652,0.14592273201771708,0.13864390767820137,0.3032788504454606,0.3032788504454606,
GP,transfusion,5,((L+P)*(L*R)),0.0,79.14362416107383,79.27874720357943,79.27874720357943,79.27874720357943,79.27874720357943,79.27874720357943,79.27874720357943,79.6778523489933,79.6778523489933,79.6778523489933,79.6778523489933,79.6778523489933,79.6778523489933,79.6778523489933,0.0,4.289842381963939,0.6168830948554018,0.28733132812471746,0.24797853793070757,0.2483696049134472,0.21356652870950246,0.19375139225990823,0.1908717910004527,0.15213317100720644,0.13500446195032736,0.10951748549201464,0.1414873758231733,0.1413927062455524,0.12259403843883482,
GPBUMDA,transfusion,5,(L*(L*R)),0.0,79.14362416107383,79.27695749440717,79.27695749440717,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,79.9489932885906,0.0,0.9146827418958124,0.2561700519844155,0.1998599499651087,0.17620723718105577,0.2221386591065254,0.2496188592617072,0.23850290296413534,0.2462902295802716,0.2549475073174144,0.255124646369758,0.2697077868748812,0.2775979357079928,0.26981166033789505,0.25842051876499555,
GPEDA,transfusion,4,((P+R)+(P+R)),0.0,79.68143176733781,79.81387024608502,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,80.21297539149889,0.0,0.35241282512565464,0.0917519084514671,0.09919185022707933,0.18645404895588213,0.21182294932688242,0.20434451973882503,0.2050297076625005,0.20001514908178236,0.1645101449857753,0.16387429401194106,0.1450044240001638,0.10643499004459625,0.053118930012062714,0.03592965854423918,
GPEDA,transfusion,5,((L+R)+(L*L)),0.0,79.01029082774049,79.54183445190156,79.54183445190156,79.54183445190156,79.54183445190156,79.54183445190156,79.54809843400447,79.54809843400447,79.54809843400447,79.54809843400447,79.54809843400447,79.67695749440716,79.67695749440716,79.67695749440716,0.0,0.44762901797052435,0.17171953509660626,0.21934731106258376,0.20719265749367505,0.2110811070991199,0.22551018491214503,0.2016822750147405,0.17199872040196082,0.14441400081600633,0.12545805640268845,0.08975601156770491,0.025300183537106072,0.03611223337160282,0.048635800260850105,
GPBUMDA,transfusion,3,(L*R),0.0,79.5543624161074,79.5543624161074,79.68948545861299,80.22192393736019,80.22192393736019,80.22192393736019,80.22192393736019,80.22192393736019,80.22371364653245,80.22371364653245,80.22371364653245,80.22371364653245,80.22371364653245,80.22371364653245,0.0,1.0205454883925786,0.1913581765674576,0.13266360272626654,0.10271884076259784,0.16646307149896697,0.1750835284623135,0.19610748410075612,0.20056520098700875,0.1850894745666017,0.20556549113611622,0.21339940194662452,0.21615505396354873,0.21299501314989389,0.19669951810887348,
GP,transfusion,4,((L+(R*L))*L),0.0,79.68053691275168,79.81476510067115,79.81565995525727,79.81565995525727,79.81565995525727,79.81565995525727,79.81565995525727,79.81565995525727,79.94899328859061,79.94899328859061,79.94899328859061,79.94899328859061,79.94899328859061,79.94899328859061,0.0,4.2280684339869685,0.3213250247498627,0.25092992465302516,0.1709452555673088,0.12827470786364373,0.10760462646205035,0.09038762061234579,0.09255448410564476,0.061815155773924615,0.07103523219501597,0.07444463911318652,0.09245060397638749,0.09245060397638749,0.09184995315095512,
GPBUMDA,transfusion,2,(R+(((R*L)*L)+R)),0.0,79.1489932885906,79.1489932885906,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,80.34809843400447,0.0,0.8249970463164868,0.3351014480618676,0.15979679135872027,0.3142050798579219,0.3302572459896558,0.34908521935416426,0.3552760257521802,0.3685525675794667,0.39310118225947077,0.4120555540230288,0.42186766018570626,0.4387923018546319,0.44661308794972443,0.44701912596504295,
