Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAc,transfusion,1,15,No Implementado,2630,2337,15.948922839701293,3.478446955067306,2,0.6295690244535143,1.2072767562109956,2.6059981026114194,80.07964205816555,0.47325866410572803,54.23636850551635,55.75418551759052,691,((R+(L+R))+(R*L))
GPBUMDAc,transfusion,1,15,No Implementado,2588,2180,28.248598595779068,3.200332446224544,2,0.09338573387230448,0.8609248028608928,1.4186601877266105,79.67964205816556,0.4735936706104377,53.213790239360726,56.207872555290365,647,((R+L)+(((R+P)+L)+P))
GPBUMDAc,transfusion,4,15,No Implementado,2614,2273,3.3078775805987557,4.0,4,0.17501968883615487,1.3348636639040543,3.957851212517113,80.74899328859061,0.4852937727874217,55.28611221289439,57.48898705260685,393,((R*L)*L)
GPEDAc,transfusion,3,15,No Implementado,2616,1788,6.76859411304798,3.1849392309072555,4,-0.6225261728406805,1.0712666604834429,3.504220406947221,81.0255033557047,0.48328317541498933,56.099949043165374,56.89103145827886,178,(R*L)
GPc,transfusion,1,15,No Implementado,2616,2092,3.3537850054534104,2.141528910786729,4,-0.5020765970914598,1.649416184975331,1.688504033079944,80.21208053691275,0.4796115041233717,54.2308227112718,54.72360557637396,713,((R+L)*((P+L)*(R+R)))
GPc,transfusion,5,15,No Implementado,2628,1457,31.21139285310923,1.4522881630872495,4,0.16781900941001293,1.810046488485082,4.5921130520531594,79.6778523489933,0.4719225464961111,53.29825846193732,56.573903158691884,569,((L+P)*(L*R))
GPBUMDAc,transfusion,5,15,No Implementado,2620,773,24.438002357988502,2.4370970738361613,1,0.25435862330175035,1.672255277675018,2.547899921043615,79.9489932885906,0.4762692558947187,53.74689089990824,57.045402026446006,406,(L*(L*R))
GPEDAc,transfusion,4,15,No Implementado,2602,476,22.867909074006445,2.981973900218251,4,0.622416238647487,0.6077897427440639,4.125818359562524,80.21297539149889,0.48028207547696555,54.197017355012534,57.00877386814716,339,((P+R)+(P+R))
GPEDAc,transfusion,5,15,No Implementado,2612,2183,24.183240782159906,3.180179928144077,4,-0.4116281104331939,1.5154854318204376,4.170181315196999,79.67695749440716,0.4749309049084037,53.13570405070413,55.56052520761991,481,((L+R)+(L*L))
GPBUMDAc,transfusion,3,15,No Implementado,2594,1610,7.012422678973442,2.3309167497276606,5,0.010401702012098973,0.15536578391449626,3.041182388377743,80.22371364653245,0.480942596635418,54.18858125050633,55.30628824943636,171,(L*R)
GPc,transfusion,4,15,No Implementado,2622,1707,4.770433238723044,2.558654917395422,5,0.49978291829307686,1.2826268332251551,1.0741348825619994,79.94899328859061,0.47693312711821817,53.71135441515788,56.53058673912867,467,((L+(R*L))*L)
GPBUMDAc,transfusion,2,15,No Implementado,2616,619,6.123315100675056,3.271355207729953,5,-0.14275514117740862,0.3836256970733599,1.8236708704293316,80.34809843400447,0.4829543106961993,54.394650751474884,56.82098377008373,485,(R+(((R*L)*L)+R))
GPc,transfusion,3,15,No Implementado,2612,1876,4.8980105928351705,3.2211751075493513,2,0.3547671286407006,1.198892965927744,0.2636070769658988,80.22192393736017,0.49932384520466105,53.17713295992434,58.757979271685564,392,(R*R)
GPc,transfusion,2,15,No Implementado,2638,1903,11.812381378241312,2.1539877225796698,2,-0.12213974929820415,0.7979203878287042,1.7865651851932918,80.07874720357941,0.480280400444442,53.85835018035049,55.438711231306584,847,(((R+R)+(R*R))+(R*R))
GPEDAc,transfusion,2,15,No Implementado,2584,1382,12.911665921831421,2.8547182506728777,4,-0.30760471170649156,0.8280113328807985,4.799491551812961,79.68232662192393,0.48362264867309507,52.68122880789774,56.40021579128787,255,(R*R)
