Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,transfusion,2,(G*H),0.0,78.87337807606264,78.87337807606264,78.87337807606264,78.87337807606264,79.00850111856823,79.00850111856823,79.27337807606264,79.27337807606264,80.60671140939597,80.60671140939597,80.60671140939597,80.60671140939597,80.60671140939597,80.60671140939597,0.0,0.5971791183126065,0.48816662480178014,0.3730763126305979,0.26125003643613,0.21953879129843681,0.19234786405796217,0.18217117618382536,0.15515886326944645,0.13442574097637539,0.45127417089830285,0.5840231841484348,0.6460945436679653,0.66023440523613,0.6147191979948492,
GPBUMDA,transfusion,3,(W+E),0.0,79.00939597315435,79.94451901565995,79.94451901565995,79.94451901565995,79.94451901565995,79.94451901565995,79.94451901565995,79.94451901565995,79.94451901565995,79.94451901565995,79.94541387024609,79.94541387024609,79.94541387024609,80.07695749440715,0.0,1.4632200488292757,0.5058366296108903,0.3687150429691896,0.3983062824999502,0.32507301180487647,0.29590619658735523,0.3181928465198891,0.3271369577045358,0.3323693782434228,0.32041807942377226,0.3222106555821515,0.30199030130216864,0.2672014739322746,0.22591311216244378,
GPBUMDA,transfusion,1,((E+H)*(H+H)),0.0,80.08232662192394,80.08232662192394,80.08232662192394,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,80.75167785234899,0.0,1.0734367656131194,0.6818684381454128,0.42215814628977,0.24631370686201445,0.2495205751977327,0.25918059117749676,0.25908471763397495,0.2779180175852686,0.2806234415294242,0.26933530999143823,0.26474715032334306,0.26215975141164,0.2853129695502225,0.2786023940082216,
GPBUMDA,transfusion,5,((K_11+G)+G),0.0,78.73914988814317,79.00581655480984,79.00581655480984,79.00581655480984,79.00581655480984,79.5400447427293,79.5400447427293,79.5400447427293,79.5400447427293,79.5400447427293,79.80850111856823,79.80850111856823,79.94272930648768,79.94272930648768,0.0,3.2533586594003396,0.6571657739934549,0.3844500946394523,0.2969630629295013,0.1892592418735949,0.1548883452400786,0.2017564560859662,0.21319568988398127,0.21538970415135336,0.22254330704842526,0.24290935587425808,0.28004484829786236,0.2753409943818146,0.2984910875054472,
GPBUMDA,transfusion,2,(E+E),0.0,78.60671140939598,78.60939597315436,78.87606263982101,78.87606263982101,80.6192393736018,80.6192393736018,80.6192393736018,80.6192393736018,80.6192393736018,80.6192393736018,80.6192393736018,80.6192393736018,80.6192393736018,80.6192393736018,0.0,1.2434251985451275,0.5417349560768282,0.402228487247251,0.39037058086210763,0.2498018083272612,0.44867135571348926,0.4769967355541571,0.5130714127867824,0.5101094997084804,0.5313556018704227,0.5434387187902416,0.578346527119678,0.5994852641978986,0.6259694768355216,
GPEDA,transfusion,1,E,0.0,80.08232662192394,80.08322147651008,80.08322147651008,80.08322147651008,80.88232662192395,80.88232662192395,80.88232662192395,80.88232662192395,80.88232662192395,80.88232662192395,80.88232662192395,80.88232662192395,80.88232662192395,80.88232662192395,0.0,0.7761957959176867,0.44992975354846,0.28209537451385663,0.19958017566158145,0.1289527375302415,0.28493400759820814,0.338320718039616,0.365429776664245,0.3718880542223171,0.3609361184912388,0.3648157927079648,0.3616793257550178,0.3025657237136509,0.2013885417356468,
GP,transfusion,1,(E*H),0.0,80.08232662192394,80.08232662192394,80.08232662192394,80.08232662192394,80.08232662192394,80.08232662192394,80.08232662192394,80.08232662192394,80.08232662192394,80.08232662192394,80.0841163310962,80.0841163310962,80.0841163310962,80.48501118568234,0.0,3.1101682341850885,0.923034057744665,0.6950227212393043,0.5898431098549268,0.5681136225090803,0.49689733248035406,0.366650840775577,0.3018852105346741,0.28292624680767386,0.22608056803395835,0.20561664525145085,0.17998162574089835,0.1508386851263585,0.1255219695146169,
GPEDA,transfusion,5,(E*H),0.0,79.00223713646533,79.00223713646533,79.00223713646533,79.00223713646533,79.40581655480983,79.40581655480983,79.40581655480983,79.40581655480983,79.53825503355705,79.53825503355705,79.53825503355705,79.53825503355705,79.53825503355705,79.54004474272931,0.0,1.293009090828426,0.6198317074943516,0.4415300670438,0.34007880954972813,0.22298800686691062,0.23107968019204836,0.19024313863430928,0.16969633169880233,0.1646416259028735,0.20063473512040958,0.1880408309466144,0.14857044081082943,0.1254014160381286,0.09741816930016746,
GP,transfusion,3,((G+W)+K_11),0.0,79.40850111856822,79.54451901565996,79.54451901565996,79.54988814317673,79.54988814317673,79.54988814317673,79.54988814317673,79.54988814317673,79.67606263982103,79.67606263982103,79.67606263982103,79.67606263982103,79.67606263982103,79.67606263982103,0.0,4.356389856876902,0.954852480802258,0.6185069846162184,0.394215693175089,0.36472457885708076,0.4259008577187251,0.42826509591740153,0.42783030367782954,0.4155838130113115,0.3970347074396524,0.34096075562393924,0.3077611368822919,0.26284808316464414,0.23693052827954578,
GP,transfusion,5,(E*H),0.0,79.00402684563758,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,79.4076062639821,0.0,5.448155272271445,1.1960210877446167,0.80353150532604,0.5792682379919022,0.4677765106084469,0.39007851773022045,0.4322994756306124,0.43083298924046254,0.4346614991278708,0.4041060524227809,0.4022352567678238,0.3684859504937214,0.35921063713299933,0.3273224425547323,
GP,transfusion,4,E,0.0,79.41118568232662,79.41118568232662,79.41118568232662,79.41118568232662,79.41118568232662,79.41118568232662,79.41118568232662,79.41118568232662,79.41118568232662,79.41118568232663,79.41118568232663,79.41118568232663,79.41118568232663,79.41118568232663,0.0,8.189607196999491,1.7139545661320865,0.9331984388839539,0.7628700340750507,0.6860469402356393,0.6547973863068924,0.5647263307265741,0.45751395780605636,0.4041207696753802,0.32076714196052536,0.23926494948526933,0.1887002473606036,0.14643892598597527,0.10736674008399809,
GPEDA,transfusion,4,G,0.0,79.14362416107383,79.41297539149889,79.41297539149889,79.81118568232662,79.81118568232662,79.81118568232662,79.81118568232662,79.81118568232662,79.81118568232662,79.81118568232662,79.81118568232662,79.81118568232662,79.94451901565995,79.94451901565995,0.0,0.7957494724634446,0.6653558114331056,0.4361804850451745,0.22405228955945852,0.19549118385854938,0.16655166255267279,0.1697325456291605,0.17053370795495243,0.18431427807765594,0.19277869939186323,0.18206465723259208,0.15895601629600783,0.04352231237172913,0.036172426614815845,
