Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAb,transfusion,2,15,No Implementado,2614,1662,2.7706320389054238,0.9249307204153139,4,-0.6470612493870236,1.192985973877785,3.450523784233017,80.60671140939597,0.4525602872122434,56.64619584373758,46.03777469814249,1251,(G*H)
GPBUMDAb,transfusion,3,15,No Implementado,2612,2595,2.162927439580715,2.0731208465569355,1,0.7244096245453199,0.49152315111151934,1.7299775625206972,80.07695749440715,0.4755998012294739,54.10484031804065,59.26914585737954,217,(W+E)
GPBUMDAb,transfusion,1,15,No Implementado,2634,699,9.473885539135999,1.2850299188043963,5,-0.13868182474896515,0.0811542151574034,2.970513256497628,80.75167785234899,0.46824361673022485,56.20180718822281,56.968424909561044,3157,((E+H)*(H+H))
GPBUMDAb,transfusion,5,15,No Implementado,2622,2473,8.926071341030218,2.123176038748299,3,-0.393336458385216,0.9305168503753646,2.0507823409641177,79.94272930648768,0.5277993981049799,50.843640589811045,41.37420126029019,415,((K_11+G)+G)
GPBUMDAb,transfusion,2,15,No Implementado,2628,883,6.155126857629486,1.0E-4,5,0.23192367681733927,0.1568388380111364,2.2532971820435677,80.6192393736018,0.46658030943434153,55.95288699876575,55.565862519684096,2158,(E+E)
GPEDAb,transfusion,1,15,No Implementado,2626,964,16.726959366957644,1.0E-4,6,0.3892431306309698,1.02879157804389,5.0,80.88232662192395,0.4685808566116325,56.51625156443949,59.22684794625907,2694,E
GPb,transfusion,1,15,No Implementado,2632,2580,19.121260646093972,2.993012344050393,5,-0.558362329524462,1.4182988792356002,2.0926227905335777,80.48501118568234,0.46891307139546956,55.49028166443487,59.85887506813511,1359,(E*H)
GPEDAb,transfusion,5,15,No Implementado,2604,2679,7.623104084357857,3.354274866070322,5,0.6196892534440338,0.2534811100918122,3.3904459513716767,79.54004474272931,0.45056532347669753,54.068732249409514,51.328214453185765,676,(E*H)
GPb,transfusion,3,15,No Implementado,2620,1755,2.155522143267074,0.7566441801750902,1,0.3997846125266262,0.4768715809678187,2.003616089852003,79.67606263982103,0.47895154130909373,52.91788951578925,60.60590582767609,558,((G+W)+K_11)
GPb,transfusion,5,15,No Implementado,2644,415,11.955735899271861,1.0791314530747822,5,0.3293687569375323,1.146822037770186,3.551999391741835,79.4076062639821,0.45891591895075967,53.30745411650305,45.30477199074388,1252,(E*H)
GPb,transfusion,4,15,No Implementado,2628,1908,1.9599446133520964,2.50177392759838,5,0.06786856994690305,0.5568489781320295,1.6215788634120953,79.41118568232663,0.4746037152221373,52.48913229525031,55.74052400851269,292,E
GPEDAb,transfusion,4,15,No Implementado,2590,2359,25.542405119496934,1.6811422679660517,5,-0.05832065912003177,0.7762347813387916,2.8752051690414544,79.94451901565995,0.47192701324950725,53.967054726120814,55.79839005981656,372,G
GPb,transfusion,2,15,No Implementado,2602,2602,2.264393715105161,1.1227874766578525,6,-0.5905533643519962,0.9998755749885332,4.314344877038085,79.27695749440716,0.46691475759487666,52.5632685275321,57.30345726189414,414,G
GPEDAb,transfusion,3,15,No Implementado,2634,1655,0.6830823185040225,3.239994388189961,6,-0.026404887707237132,1.776590192407662,1.223348180171457,79.94451901565995,0.5511448847298451,49.44870108972045,57.678539067474716,682,(G*K_13)
GPBUMDAb,transfusion,4,15,No Implementado,2618,2214,32.0,2.2647463731018282,5,-0.05447955187975696,0.29422487085891375,2.0111393296140854,79.94451901565996,0.4702570058235297,54.05558645308006,55.836292438057896,396,G
