Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,wpbc,4,((H+R)*(R+L)),0.0,80.46626180836707,80.99257759784075,81.00607287449392,81.46626180836708,81.46626180836708,82.51889338731444,82.51889338731444,82.51889338731444,82.51889338731444,82.51889338731444,82.51889338731444,82.51889338731444,82.51889338731444,82.51889338731444,0.0,0.8833034965258024,0.3895049661844133,0.36646058749507593,0.3545597266776979,0.3336218041869522,0.3253953121919554,0.42636019810723524,0.3601128294556931,0.38567451301869915,0.4723010591418061,0.49066420752739537,0.5215675639492107,0.5116440799653789,0.4775879069959005,
GPBUMDA,wpbc,4,(((K_13+L)*(K_13+K_13))+(K_13+(K_13+K_11))),0.0,80.42712550607288,80.95344129554655,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,82.49257759784075,0.0,1.3080466133872055,0.7111512531433575,0.4158892292878478,0.5981942837879165,0.47199571654513406,0.4440207368635998,0.4402755183388473,0.3416425608387361,0.38455978894724385,0.41776844762045495,0.4224940725575817,0.4393561088017383,0.4016831462335415,0.35072670026897246,
GPEDA,wpbc,3,((H+R)+R),0.0,80.95141700404858,80.95141700404858,81.99055330634278,82.47773279352228,82.99055330634278,82.99055330634278,83.50337381916329,83.51686909581647,83.51686909581647,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,0.0,1.168969985358943,0.7545597930144906,0.3532291153769344,0.39397089511366923,0.5232315945200409,0.6585703114960523,0.5598700223046104,0.5967318619914924,0.5752175758523366,0.31644009473312046,0.27736237199116703,0.2396031548246107,0.251229717213665,2.132480599880018E-6,
GP,wpbc,4,(((((P*(K_13+K_11))+(R*(K_11+(R*R))))+(L*K_11))+(R*R))+(K_13+K_11)),0.0,80.47975708502024,81.43859649122808,81.43859649122808,81.43859649122808,81.4527665317139,81.4527665317139,81.4527665317139,81.4527665317139,81.46626180836708,81.9136302294197,81.9919028340081,81.9919028340081,81.9919028340081,81.9919028340081,0.0,7.713211419935838,1.1676476672715437,0.7670228530536408,0.47902012940281535,0.5063127499918881,0.492636603792811,0.492636603792811,0.4262700124437267,0.3641506457324566,0.34322453459630436,0.30616247287699044,0.27311861586534264,0.3015850487770094,0.21661141724695177,
GP,wpbc,1,((L+(W*K_11))*(K_13+W)),0.0,80.97908232118758,80.97908232118758,80.97908232118758,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,82.00404858299596,0.0,3.1147342100803317,0.9246860807444642,0.7133333859287605,0.6854412618777108,0.6195242798045287,0.5202572474314889,0.4685867496788282,0.3792212274263924,0.49386313015108807,0.5798230410040408,0.5519474138753065,0.5487215107158399,0.56343832551626,0.5334958091966626,
GPBUMDA,wpbc,3,((H+W)+R),0.0,81.99122807017544,83.52968960863697,83.52968960863697,83.52968960863697,83.52968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,0.0,1.4963149834192182,0.8756714314628894,0.89448715455045,0.9728144942287056,1.0295105517189043,0.9263118787135229,0.29446591221853896,0.18020093560176076,0.228281968006654,0.2492846655144356,0.20203048829508724,1.4355129586014018E-14,1.4355129586014018E-14,1.4355129586014018E-14,
GPEDA,wpbc,1,((W+(G+P))*(L*K_11)),0.0,81.99122807017544,81.99122807017544,81.99122807017544,81.99122807017544,81.99122807017544,81.99122807017544,82.04453441295547,82.04453441295547,82.04453441295547,82.04453441295547,82.04453441295547,82.04453441295547,82.04453441295547,82.04453441295547,0.0,0.7772434445747496,0.9722591442116335,1.2162148310954726,0.9303509968987645,0.7844467400590899,0.4245599879172088,0.23326510391851554,0.17710327012879176,0.01732251130122432,0.019485684324990968,0.02121636062361096,0.023443342874594396,0.02467524173229175,0.025135089674771,
GPBUMDA,wpbc,1,(K_13+W),0.0,81.47705802968962,81.47705802968962,81.47705802968962,81.47705802968962,84.14979757085021,84.14979757085021,84.14979757085021,84.14979757085021,84.14979757085021,84.14979757085021,84.14979757085021,84.14979757085021,84.14979757085021,84.14979757085021,0.0,0.8338309941318709,0.9414483050851843,0.7524477494155571,0.6946505535395235,0.6657913161529934,0.9132598476715676,0.9250577856861145,0.9875900488698556,1.0146538911184346,1.031252156982904,1.1369455432628863,1.1903433302979487,1.2486906218443266,1.2416576446351402,
GP,wpbc,3,(R+H),0.0,81.42577597840756,82.46423751686909,82.99055330634278,82.99055330634278,82.99055330634278,82.99055330634278,83.50337381916329,83.50337381916329,83.50337381916329,83.50337381916329,83.51686909581647,83.51686909581647,83.51686909581647,83.51686909581647,0.0,5.666395889089341,1.2422986880198075,0.5970990399869097,0.5088683592905386,0.7906017754284582,0.878587451765049,0.8250233982945876,0.8839281696031691,0.8477561043876267,0.7964825967175135,0.7576797690836355,0.6985474183771359,0.6719541904274391,0.5067396244778082,
GP,wpbc,5,(K_13*K_13),0.0,81.93724696356274,82.46423751686909,82.46423751686909,82.46423751686909,83.00337381916329,83.00337381916329,83.00337381916329,83.00337381916329,83.00337381916329,83.00337381916329,83.00337381916329,83.00337381916329,83.00337381916329,83.00337381916329,0.0,6.2210877638142446,1.6580997075918846,0.7952864366700083,0.42245697668691007,0.2835491598092078,0.4435824116589459,0.49652539609865665,0.443551732659486,0.443551732659486,0.443551732659486,0.39523030760680394,0.35760611668748005,0.3927719308966278,0.4520906399106888,
