Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAa,wpbc,4,15,No Implementado,2606,1053,25.43828707074986,1.7611988161993093,4,-0.023424364911534337,0.7121595772132533,3.732933607089585,82.51889338731444,0.8607582739840804,28.732801145895102,59.19949799814534,140,((H+R)*(R+L))
GPBUMDAa,wpbc,4,15,No Implementado,2626,611,32.0,1.9652240567434718,2,0.008769820303069054,1.1081659649979663,3.592820492414761,82.49257759784075,0.7486645612452063,40.885715831052444,53.91810629177767,140,(((K_13+L)*(K_13+K_13))+(K_13+(K_13+K_11)))
GPEDAa,wpbc,3,15,No Implementado,2632,1963,21.052337955803097,3.075155077782437,2,0.2525163864452039,0.15153770576281111,2.433980855847632,84.02968960863697,0.8995432524464784,26.55034292098647,63.83264596662313,65,((H+R)+R)
GPa,wpbc,4,15,No Implementado,2604,2130,18.13136168162155,0.7061739355251626,4,-0.10649116455804597,0.8134260980867112,0.5465146555196693,81.9919028340081,0.7937687044138657,35.171720656949226,59.20962530702832,150,(((((P*(K_13+K_11))+(R*(K_11+(R*R))))+(L*K_11))+(R*R))+(K_13+K_11))
GPa,wpbc,1,15,No Implementado,2612,759,17.260899138094857,2.910565546923528,1,-0.9938419936285252,0.7517831170184694,1.26050784554063,82.00404858299596,0.9432992813637975,17.084073833875173,55.95361320194229,203,((L+(W*K_11))*(K_13+W))
GPBUMDAa,wpbc,3,15,No Implementado,2600,1180,16.6736789354856,2.386006659325837,2,-0.4149080452885348,0.09761713935042865,1.7387740779597285,84.02968960863697,0.8982446585672392,26.739071720160023,63.83264596662313,137,((H+W)+R)
GPEDAa,wpbc,1,15,No Implementado,2606,1307,24.126573534627788,3.800357977586409,4,0.4042136612298377,0.04358755247431867,1.1974363446078855,82.04453441295547,0.7730412598154534,37.40946302475993,51.06442620771052,506,((W+(G+P))*(L*K_11))
GPBUMDAa,wpbc,1,15,No Implementado,2612,945,12.333710405374728,1.698301489205779,3,-0.0266568945195656,0.8206458832225887,2.9177986163993177,84.14979757085021,0.8503879990976765,33.57547613957392,53.86001516833902,4560,(K_13+W)
GPa,wpbc,3,15,No Implementado,2638,2005,13.035032893968193,3.6013534994490195,2,-0.31220031979397245,0.12761178701850648,2.5949291000439665,83.51686909581647,0.8350755695916986,34.05598305655021,62.56860137695028,37,(R+H)
GPa,wpbc,5,15,No Implementado,2634,842,26.837400970472594,3.892533375879083,6,-0.9562860786669616,1.8265361647632725,0.2089852383951779,83.00337381916329,0.8479460324621615,31.335338612728425,63.64107763837395,28,(K_13*K_13)
GPBUMDAa,wpbc,5,15,No Implementado,2602,1537,15.215232494675783,3.2184729144088426,5,-0.17552896625712894,0.2685899706019098,3.1974791650411025,83.97705802968962,0.8814450066062968,29.02298839614122,63.62169555548235,243,(H+W)
GPa,wpbc,2,15,No Implementado,2628,2315,16.321190071812033,3.2079990815866593,6,-0.752572735281434,1.0417685984021001,1.685932446164029,82.50472334682861,0.9382376763021923,18.462870949378747,55.182685416115056,243,((K_11+(K_13+(W*R)))*H)
GPBUMDAa,wpbc,2,15,No Implementado,2592,842,22.2901976679961,3.285907165813103,6,-0.8932401400723153,0.41762510386093343,1.235681332688852,83.51686909581646,0.9536554843006456,17.584217219706908,58.305797632840985,40,(K_13+(R*K_13))
GPEDAa,wpbc,5,15,No Implementado,2604,2465,0.07437238413162994,0.8724903063893263,5,0.1158587014083538,1.3145436113333053,3.345296021562115,82.46423751686909,0.699679997421933,45.22393696938013,53.748389507727595,31,(((K_13*K_11)+(K_11+K_13))*L)
