Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,wpbc,2,((R+L)+(L*R)),0.0,81.96491228070175,82.47840755735493,82.49122807017544,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.01754385964912,83.01754385964912,83.01754385964912,83.01754385964912,83.01754385964912,83.01754385964912,83.01754385964912,0.0,0.8671047863499296,0.5909573454974204,0.643882433138036,0.25101829255382674,0.14193737910227305,0.16976140581665786,0.20828090068466443,0.24548198911223137,0.24662080151404664,0.1395481664993797,0.00539811128366468,0.006059364880240646,0.006477733442115356,0.006611308731561479,
GP,wpbc,1,(R+L),0.0,80.42577597840756,80.89946018893387,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,81.96491228070175,0.0,1.478370819441875,0.529582246874224,0.37291943737865135,0.5072682497642405,0.48643589443919405,0.6018011385176069,0.65339416127436,0.6463553723789709,0.6784915299870983,0.6641534438166272,0.6176764353311179,0.6354932934876982,0.5395904380422244,0.5395904380422244,
GPBUMDA,wpbc,1,(((R+L)*(((R+L)*(R+L))+L))*L),0.0,80.41228070175438,80.41228070175438,81.00539811066128,81.50539811066128,81.50539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.51821862348177,82.51821862348177,0.0,1.1874212257391514,0.33811717905440913,0.19800540851085607,0.2949172814327102,0.4035882845660895,0.41019444454157344,0.28973770869842375,0.16485976969847413,0.17525489849378065,0.2267786606648577,0.2392590359350169,0.25071324262822076,0.1845784776836483,0.14053717315581202,
GPBUMDA,wpbc,2,((R*(L+P))+L),0.0,81.9919028340081,82.47840755735493,82.47840755735493,82.49122807017544,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.51754385964912,83.51754385964912,0.0,1.280759748693806,0.8335928445623143,0.8307838958934711,0.7507901867019223,0.24588633105781435,0.20195812671197388,0.14385416546386395,0.15890849633784215,0.18302851235026965,0.19313083560386973,0.21052973209634357,0.2301358854612523,0.2533975740444845,0.29426313868940607,
GPEDA,wpbc,1,(L*((R+L)*(((L+(R+P))*(R+L))+L))),0.0,80.92577597840756,80.92577597840756,81.50539811066128,81.50539811066128,81.50539811066128,81.50539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,82.00539811066128,0.0,0.4101160922053073,0.429460412630731,0.35658036667051873,0.5675836042626262,0.5402514425067899,0.3791232045302939,0.24574701506697974,0.2225767824494169,0.20000000000673027,0.23323807579768338,0.24819347292347865,0.24494897428099116,0.1624807680975152,1.3486991523486091E-6,
GPBUMDA,wpbc,5,(L+R),0.0,82.01686909581647,83.59581646423752,83.59581646423752,83.59581646423752,84.09581646423752,84.09581646423752,84.09581646423752,84.09581646423752,86.1221322537112,86.1221322537112,86.1221322537112,86.1221322537112,86.1221322537112,86.1221322537112,0.0,1.407729880658332,0.9128594951035035,0.8010829844462253,0.5091939888366876,0.3138298195450881,0.2929815924534663,0.20179986063128477,0.17393795679546814,0.2077206540604329,0.5217238578148348,0.6034363564664633,0.6567123355547765,0.6929512942152984,0.7529181064345604,
GPBUMDA,wpbc,4,((P+((((L+R)+(L+P))+L)+L))+(L+P)),0.0,81.51686909581647,83.04318488529016,83.04318488529016,83.04318488529016,83.04318488529016,83.04318488529016,83.04318488529016,83.05668016194332,83.05668016194332,83.05668016194332,83.582995951417,83.582995951417,83.582995951417,83.582995951417,0.0,1.8732273998910767,0.5091022642511173,0.39310946321275564,0.4592758195412226,0.4375529725033856,0.39358493465128397,0.4482168865962458,0.45183396558770256,0.43107021816899466,0.23178915752925627,0.2338596780330481,0.2767175556167589,0.26239248477759103,0.2074058980693455,
GP,wpbc,2,((R+L)+(L*R)),0.0,81.96491228070175,82.47840755735493,82.47840755735493,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,83.00404858299595,0.0,1.2713112221881104,1.077139894767535,0.7779018705148975,0.651282176561782,0.631029995465204,0.5663458639343624,0.5174158860826001,0.40787432061727175,0.3481952417087397,0.3111595680440591,0.26824536111991254,0.2244924145223333,0.2451990027488239,0.26116111541301834,
GP,wpbc,5,(((L+R)+L)+L),0.0,83.06950067476383,83.082995951417,83.09581646423752,83.53036437246963,83.59581646423752,83.59581646423752,83.59581646423752,83.59581646423752,83.59581646423752,83.59581646423752,83.59581646423752,83.59649122807018,83.59649122807018,83.59649122807018,0.0,3.174851504452014,1.3594397132994982,0.9198816523605168,0.7260128945155498,0.4473117991860788,0.5202361760490096,0.4342816092557222,0.42003543000287624,0.3363939174669438,0.32634589740043707,0.2868278696434713,0.23570525220553762,0.20531044182221608,0.2265704052171301,
GP,wpbc,4,(((((R+L)+P)+P)+L)+L),0.0,82.00404858299595,82.04318488529015,82.04318488529015,82.04318488529015,82.04318488529015,82.582995951417,82.582995951417,83.082995951417,83.082995951417,83.582995951417,83.582995951417,83.582995951417,83.582995951417,83.582995951417,0.0,5.969641363607383,1.2446149324604034,0.5965973281502333,0.2894827048387312,0.21872055293264717,0.2428931254266346,0.2233695370403118,0.236669608958555,0.2301680641939527,0.25299143315484096,0.3498069945096582,0.3045133936661997,0.26379002385936434,0.34435375089888953,
