Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAc,wpbc,2,15,No Implementado,2612,1479,24.135502399000373,2.3752024477532947,1,-0.15742603751183273,0.4197619799081167,1.8639728900043404,83.01754385964912,0.8059704811317715,36.27123481924166,62.345071609178675,80,((R+L)+(L*R))
GPc,wpbc,1,15,No Implementado,2602,641,16.316928133231965,0.6648723112931474,5,0.3545240032479202,0.9154094407068519,2.186837521532492,81.96491228070175,0.6803664077857626,45.537842919736946,66.06944937670004,21,(R+L)
GPBUMDAc,wpbc,1,15,No Implementado,2610,2359,15.45527702334066,2.266558244099227,1,-0.5031046502469575,1.2195536995339815,1.0647844331654126,82.51821862348177,0.6596564725596983,48.612701175698746,52.790818910706626,221,(((R+L)*(((R+L)*(R+L))+L))*L)
GPBUMDAc,wpbc,2,15,No Implementado,2614,2478,15.459381463430919,1.5573917400911699,3,-0.024952810143177045,0.8780598375167821,1.6915043692004872,83.51754385964912,0.8376660973435166,33.74156312773258,60.253761182715984,50,((R*(L+P))+L)
GPEDAc,wpbc,1,15,No Implementado,2634,1330,6.057354129802674,1.229693183342662,2,0.3755714834200388,1.9913113757525105,2.0930551670422917,82.00539811066128,0.7305905922034954,41.34632084581668,61.98896656809188,97,(L*((R+L)*(((L+(R+P))*(R+L))+L)))
GPBUMDAc,wpbc,5,15,No Implementado,2612,1569,20.051078796260335,0.5481337766756781,2,-0.3301720436436955,1.2408978727161732,3.1195748188091166,86.1221322537112,0.6571566068340262,58.48878211194346,78.80480173189983,28,(L+R)
GPBUMDAc,wpbc,4,15,No Implementado,2596,2090,14.054135022596164,1.7012362527235192,2,-0.43440629030765976,0.8537996091779079,3.4427255160201926,83.582995951417,0.68167348780252,49.664934078142146,57.65372948835782,72,((P+((((L+R)+(L+P))+L)+L))+(L+P))
GPc,wpbc,2,15,No Implementado,2632,825,23.071821312560214,2.4621640711264177,5,0.37706396734973646,0.7188832454215555,4.916358358519038,83.00404858299595,0.9072691824304728,23.574450296739624,56.304854444895,83,((R+L)+(L*R))
GPc,wpbc,5,15,No Implementado,2610,2235,28.914077484205272,0.15582771009808252,2,0.6617097323481591,0.7140822052469832,2.731728117790126,83.59649122807018,0.44839386420031585,64.49078417979067,72.7748745022876,46,(((L+R)+L)+L)
GPc,wpbc,4,15,No Implementado,2622,1872,13.555548113177572,2.1616978431584193,5,0.7572004652154267,0.3102634986903877,0.1875064218120437,83.582995951417,0.6984147035759939,48.25736145872344,56.57540166321796,53,(((((R+L)+P)+P)+L)+L)
GPBUMDAc,wpbc,3,15,No Implementado,2612,1749,20.087924699520478,0.9345160622586753,2,0.7012448424762004,1.6841996882836021,0.4506518700547679,84.0310391363023,0.6279625750593493,55.008495526405675,63.99798438623789,159,(R+(((R+(R+(R+L)))+R)+R))
GPEDAc,wpbc,3,15,No Implementado,2614,1683,15.258939877306275,0.03399345786337771,2,-0.01784966077882054,0.5347763479769796,3.8383375268323947,84.00269905533064,0.4627048220596608,64.83121956819787,69.91295937463909,31,(R+L)
GPc,wpbc,3,15,No Implementado,2630,2109,9.934637560631504,0.8141992179286706,5,0.7765795767360615,1.43850653615259,2.1837593425085267,83.50472334682861,0.7218654463815755,45.978137582758905,63.537484989214406,96,((P+((R*R)+L))+((P+R)+(L+R)))
GPEDAc,wpbc,5,15,No Implementado,2624,2265,16.733200795063997,0.4993873000229145,4,0.31101159616649704,1.1705780147934433,3.5947697838749306,84.09581646423752,0.5913571374861697,57.710005857263525,60.4613660848175,116,((L+(L+(R+L)))+((R+L)+L))
GPEDAc,wpbc,4,15,No Implementado,2618,747,13.127085897916547,2.444683056879178,6,0.8485267174532918,1.0580677856193486,1.1256193174863731,82.01754385964912,0.4688733846798363,59.40512259970239,54.02613806118522,49,(L+P)
