Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,wpbc,3,((((H+K_13)+K_11)+K_11)*(H+K_11)),0.0,83.46423751686909,83.46423751686909,83.46423751686909,83.99055330634278,83.99122807017544,84.49055330634278,84.49055330634278,84.49055330634278,84.49055330634278,85.00337381916329,85.00337381916329,85.00337381916329,85.00337381916329,85.00337381916329,0.0,1.9154590672990814,0.8159178514012143,0.7322013452064863,0.4022021451525169,0.37440182264765276,0.2515879717180425,0.11992849444468706,0.23134806656990145,0.2521658515558696,0.20894360123077244,0.10151212488375212,0.1230245707706241,0.1405371731558157,0.17974861383977458,
GPBUMDA,wpbc,1,((W+H)+H),0.0,82.45006747638327,82.45006747638327,82.51686909581647,82.56950067476383,83.01619433198381,83.01619433198381,83.01619433198381,83.01619433198381,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,84.02968960863697,0.0,1.8298388145058657,0.7893058895641002,0.6285307044220704,0.5653137292000929,0.4168688328318166,0.37458041615885473,0.3162150529298967,0.293084333820598,0.2545804845797382,0.3471017174296275,0.4008008197047309,0.44042615292157067,0.4603031444125055,0.47121259231719465,
GPEDA,wpbc,1,((G+H)*(W+H)),0.0,81.93927125506073,81.9770580296896,81.9770580296896,82.45006747638327,82.47638326585695,82.47638326585695,82.47638326585695,82.50337381916329,82.50337381916329,82.99055330634278,82.99055330634278,83.01619433198381,83.01619433198381,83.51619433198381,0.0,0.8191822349303706,0.6022766133034496,0.37006954826240324,0.2487027014486337,0.25005642210227186,0.18870179693212433,0.2143054181651678,0.2316975181713918,0.2290071705858315,0.22248196032301543,0.14412936764437687,0.16779692916865577,0.23087567844340529,0.2525429588467186,
GPEDA,wpbc,3,(((W+K_13)+(H+K_11))+K_11),0.0,81.92577597840756,82.45209176788124,82.45209176788124,82.96558704453442,82.96558704453442,82.97840755735493,82.97840755735493,83.4919028340081,83.4919028340081,83.4919028340081,83.4919028340081,83.4919028340081,83.4919028340081,83.4919028340081,0.0,0.7689218102459678,0.3968079089619176,0.35813588519433576,0.25880787403500516,0.18089302807151966,0.24037191254935414,0.24129335168630164,0.020662604038188488,0.20238089213165286,0.22978406565830706,0.24280750958351133,0.256262689254462,0.2514942274576815,0.1881268400674119,
GP,wpbc,3,(K_13+(((((((H+K_13)*(H+K_13))+K_11)+K_13)+K_11)+K_11)+K_11)),0.0,82.45209176788124,82.45209176788124,82.92442645074223,83.99055330634278,83.99055330634278,83.99055330634278,83.99055330634278,83.99055330634278,83.99055330634278,83.99055330634278,83.99055330634278,83.99055330634278,84.50404858299595,84.50404858299595,0.0,7.291959898876591,0.818914250906555,0.7835846730809051,0.7822854872562489,0.5579261687861872,0.5657521896043584,0.4376186870645514,0.4329507416704039,0.43206373365675993,0.5757423499458227,0.5842818477290619,0.5159936039096741,0.5159936039096741,0.47834341452132906,
GP,wpbc,1,((H+K_13)+H),0.0,82.4379217273954,82.4379217273954,82.4379217273954,82.4379217273954,82.4379217273954,82.45006747638327,82.45006747638327,82.47773279352228,82.47773279352228,82.51619433198381,82.51619433198381,82.51619433198381,82.51619433198381,82.51619433198381,0.0,4.2246732126204325,1.0855978159395419,0.6887071781158017,0.5431522441781016,0.5431522441781016,0.523974352322755,0.5348737322977754,0.4607133867863553,0.42183832192552867,0.4126852987955902,0.4156383210119727,0.254212623643958,0.254212623643958,0.254212623643958,
GPBUMDA,wpbc,5,E,0.0,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,82.51686909581646,0.0,2.277273765739902,1.018164897260462,0.9716959577031634,1.0135769844208316,1.1196731991304567,1.080238930722225,1.0670156451619621,1.057178246472346,0.9604171291992039,0.8930354736188129,0.81179620637647,0.7368320217932549,0.5610231364511865,0.3405211253252084,
GP,wpbc,2,((E*G)+G),0.0,81.43859649122808,81.43859649122808,81.43859649122808,81.43859649122808,81.93859649122808,81.93859649122808,81.93859649122808,81.93859649122808,81.93859649122808,81.93859649122808,81.93859649122808,81.93859649122808,81.93859649122808,81.96491228070175,0.0,5.031693556737839,1.0633306318934583,0.862865091250755,0.8417287446779702,0.8417287446779702,0.8356369020315477,0.7957744513282242,0.6169663539303248,0.5925214559381644,0.5542421867513213,0.538144658654905,0.4576687455686894,0.44711931316469367,0.4497641857107744,
GP,wpbc,5,((K_11+H)+(W*W)),0.0,80.42645074224022,80.42645074224022,80.42645074224022,80.91295546558703,80.95276653171389,80.95276653171389,80.95276653171389,80.95276653171389,81.96558704453442,81.96558704453442,81.96558704453442,81.96558704453442,81.96558704453442,81.96558704453442,0.0,7.422954344127169,1.3754819321719791,0.8192054672809348,0.4400517876222753,0.5491164317981819,0.49741402772085813,0.471067779257843,0.48024018527134926,0.44780393267303775,0.39604308964172824,0.3887055345893886,0.45824616408654534,0.4823601161488836,0.43710669848104494,
GP,wpbc,4,((H*K_11)*(((K_13+H)+(W+K_11))+(W+K_13))),0.0,79.91295546558705,80.41295546558703,80.41295546558703,80.41295546558703,80.96491228070175,80.96491228070175,82.55735492577597,82.55735492577597,82.55735492577597,82.55735492577597,82.55735492577597,82.55735492577597,82.55735492577597,82.55735492577597,0.0,8.602637183966628,1.3773477625314487,1.0642044048386057,0.8300808311335677,0.6924121668027526,0.558091127431706,0.5020583506801489,0.6235485741644307,0.6073290050295508,0.8198496618732621,0.8820825477585644,0.8705571339160421,0.8705571339160421,0.8565591440467826,
