Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,wpbc,3,15,No Implementado,2616,1916,24.218706953288745,3.158776782217701,2,0.3610665592355245,1.1990234580828536,2.104661810657022,85.00337381916329,0.7061403113016016,51.38466316472085,72.16349411477964,95,((((H+K_13)+K_11)+K_11)*(H+K_11))
GPBUMDAb,wpbc,1,15,No Implementado,2618,1732,16.55122873017838,1.575576257992914,1,0.06138200973315461,0.721189437960059,5.0,84.02968960863697,0.6984644387870194,49.44043328335708,73.65172305164796,103,((W+H)+H)
GPEDAb,wpbc,1,15,No Implementado,2622,2530,21.581659319707494,2.552727564843268,2,0.4309911405118517,0.40056824358616167,3.4883379958372958,83.51619433198381,0.747663734115347,43.581152141441265,55.69039458783607,181,((G+H)*(W+H))
GPEDAb,wpbc,3,15,No Implementado,2604,1426,23.500947049155208,2.3280920266229677,3,-0.41942664462849777,0.5808525393839145,0.951723381330172,83.4919028340081,0.8144804657707884,36.4365685814636,62.85425147937626,172,(((W+K_13)+(H+K_11))+K_11)
GPb,wpbc,3,15,No Implementado,2594,2455,19.637726622944832,3.3730543373981208,2,0.948807669214867,1.6701758577404906,4.586686956279481,84.50404858299595,0.7048499887209564,50.153825347172486,72.1999501796974,78,(K_13+(((((((H+K_13)*(H+K_13))+K_11)+K_13)+K_11)+K_11)+K_11))
GPb,wpbc,1,15,No Implementado,2624,1947,1.9927751299403056,2.0141275089034627,4,0.8071611067401934,0.4103605626805578,2.4028301524964157,82.51619433198381,0.6469083604567476,49.58112919386007,63.382220718757296,166,((H+K_13)+H)
GPBUMDAb,wpbc,5,15,No Implementado,2604,275,32.0,1.1955615642158932,1,-0.15409828408755577,0.3827883777776987,5.0,82.51686909581646,0.47421782518556715,60.413313605109586,35.492583764750236,9,E
GPb,wpbc,2,15,No Implementado,2588,2536,10.230019568653788,2.980574871421854,1,0.3397231041527653,0.9639532806246425,2.2152963356240702,81.96491228070175,0.5386688580236967,55.38619569849842,66.07381389919769,100,((E*G)+G)
GPb,wpbc,5,15,No Implementado,2608,1754,14.479991380500202,2.5328036203066966,4,0.6348852685572579,0.965154171925874,4.47111090994576,81.96558704453442,0.905895824605502,21.977578956922596,45.29802326797896,175,((K_11+H)+(W*W))
GPb,wpbc,4,15,No Implementado,2578,1364,7.704467199133845,3.1743040192135106,6,-0.17280933946894161,0.15258632870822375,4.081505556181263,82.55735492577597,0.8044631712373647,35.35212077105482,42.011070808481676,784,((H*K_11)*(((K_13+H)+(W+K_11))+(W+K_13)))
GPEDAb,wpbc,5,15,No Implementado,2634,551,6.82417839595886,2.224330705957569,3,0.06934344782851459,0.6716041728778089,1.4279490043889553,82.00472334682861,0.8917186039766685,23.86232908565379,57.491699077106134,136,((K_13+W)+(K_13+(K_11*K_11)))
GPBUMDAb,wpbc,2,15,No Implementado,2632,997,2.433594591139453,2.719828431051763,3,0.5949278832334532,0.3617862338488915,1.6191120371744352,84.05600539811067,0.9536389417034578,18.29383293141343,57.00788792526767,99,(W+K_13)
GPBUMDAb,wpbc,4,15,No Implementado,2624,2316,12.899955215967461,1.8741783292387961,6,0.44646511574549486,0.4936825603365149,4.237130728214599,82.54385964912281,0.9381877262522422,18.525156516209492,50.96838860860953,253,((K_13*K_13)+(H*((W+K_11)+K_13)))
GPEDAb,wpbc,4,15,No Implementado,2606,2349,19.923175719941476,2.6644479210045717,6,0.089622229676203,0.05989437758995819,2.3975373534407836,82.54385964912281,0.9381793475341862,18.526329332589082,49.99504088238935,431,((H*(K_11+((K_13+K_13)+(W*K_11))))+(W*W))
GPEDAb,wpbc,2,15,No Implementado,2616,1364,2.4290527888759,2.868511119834854,5,0.6074435307926207,0.3715913192453351,0.6834608965110738,82.55735492577597,0.9536389417034578,16.366572263065876,47.540669972117044,85,(K_13+W)
